source,target,annotation
"When people around us know that we got certain disease , their altitudes will be easily changed , whether caring us too much or keeping away from us .","When people around us know that we have a got certain disease attitudes their altitudes will be easily changed by for , whether caring us too much or keeping away from us .",A 7 7|||V0|||have|||REQUIRED|||-NONE-|||0; A 8 8|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||attitudes|||REQUIRED|||-NONE-|||0; A 19 19|||Prep|||by|||REQUIRED|||-NONE-|||0; A 20 20|||Prep|||for|||REQUIRED|||-NONE-|||0
And both are not what we want since most of us just want to live as normal people .,And neither are what we want since most of us just want to live as normal people .,A 1 4|||ArtOrDet|||neither are|||REQUIRED|||-NONE-|||0
"Surrounded by such concerns , it is very likely that we are distracted to worry about these problems .","Surrounded by such concerns , it is very likely that we will be distracted and worry about these problems .",A 11 12|||Vt|||will be|||REQUIRED|||-NONE-|||0; A 13 14|||Trans|||and|||REQUIRED|||-NONE-|||0
"It is a concern that will be with us during our whole life , because we will never know when the ''potential bomb' ' will explode .","It is a concern that will be with us throughout our whole life , because we will never know when the ''potential bomb' ' will explode .",A 9 10|||Wci|||throughout|||REQUIRED|||-NONE-|||0
"On the other hand , if there are ways can help us to control or cure the disease , we can going through thses process from the scope of the whole family .","On the other hand , if there are ways that can help us to control or cure the disease , we go going these processes process from the scope of the whole family .",A 9 9|||ArtOrDet|||that|||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||go|||REQUIRED|||-NONE-|||0; A 23 24|||Mec|||these|||REQUIRED|||-NONE-|||0; A 24 25|||Nn|||processes|||REQUIRED|||-NONE-|||0
"For an example , if exercising is helpful for family potential disease , we can always look for more chances for the family to go exercise .","For example , if exercising is helpful for family potential family , diseases can always could for more chances for the family to go exercise .",A 1 2|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 9 11|||WOinc|||potential family|||REQUIRED|||-NONE-|||0; A 11 12|||Nn|||diseases|||REQUIRED|||-NONE-|||0; A 14 15|||Vm|||could|||REQUIRED|||-NONE-|||0
And we keep track of all family members health conditions .,And we could keep track of all family ' members health conditions .,A 2 2|||Vm|||could|||REQUIRED|||-NONE-|||0; A 8 8|||Npos|||'|||REQUIRED|||-NONE-|||0
"At the same time , we are prepared to know when there are other members got this disease .","At the same time , we will be prepared to know when there are other members who have this disease .",A 6 7|||Vt|||will be|||REQUIRED|||-NONE-|||0; A 15 16|||Wci|||who have|||REQUIRED|||-NONE-|||0
Here I want to share Forest'view on this issue .,Here I want to share Forest 's view on this issue .,A 5 6|||Mec|||Forest 's view|||REQUIRED|||-NONE-|||0
"Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to his or her siblings , there currently is no legal requirement to do so .","Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to their siblings , there currently is is currently requirement to do so .",A 28 31|||Pref|||their|||REQUIRED|||-NONE-|||0; A 34 36|||WOadv|||is currently|||REQUIRED|||-NONE-|||0
"In fact , requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious .","In fact , requiring someone to communicate their own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious .",A 7 10|||Pref|||their|||REQUIRED|||-NONE-|||0
"""","""",NONE
Nothing is absolute right or wrong .,Nothing is absolutely right or wrong .,A 2 3|||Wform|||absolutely|||REQUIRED|||-NONE-|||0
"If certain disease genetic test is very accurate and it is unavoidable and necessary to get treatment and known by others , it is OK to disclose the result .","If a genetic test for a disease test is very accurate and it is unavoidable both and necessary to get treatment , be and known by others , it is OK to disclose the result .","A 1 1|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 2 5|||WOinc|||genetic test for a disease|||REQUIRED|||-NONE-|||0; A 11 11|||ArtOrDet|||both|||REQUIRED|||-NONE-|||0; A 17 17|||Mec|||,|||REQUIRED|||-NONE-|||0; A 18 18|||V0|||be|||REQUIRED|||-NONE-|||0"
"Above all , life is more important than secret .","Above all , life is more important than a secret .",A 8 8|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
Genetic risk does carry its consequences and should not be taken lightly within the family circle .,Genetic risk does carry its consequences and should not be taken lightly within the family circle .,NONE
"Afterall , what affects one family may or may not affect another although the families has a common genetic make up , shared by either of the parents .","After all , what affects one family may or may not affect another even if although the have has a common genetic make up , shared by either of the parents .","A 0 1|||Mec|||After all|||REQUIRED|||-NONE-|||0; A 12 12|||Mec|||,|||REQUIRED|||-NONE-|||0; A 12 13|||Wci|||even if|||REQUIRED|||-NONE-|||0; A 15 16|||SVA|||have|||REQUIRED|||-NONE-|||0"
"In cases where an individual has gotten to know of a genetic disorder , disclosing or otherwise , to his or her relative is solely a matter of preference within the indivdial moral system .","In cases where an individual has gotten to know of a genetic disorder , disclosing it or , to his or her relatives is solely a matter of preference within the individual 's moral system .",A 15 15|||Pref|||it|||REQUIRED|||-NONE-|||0; A 17 18|||Mec||||||REQUIRED|||-NONE-|||0; A 22 23|||Nn|||relatives|||REQUIRED|||-NONE-|||0; A 31 32|||Npos|||individual 's|||REQUIRED|||-NONE-|||0
"The issue on right to know or not to know is highly debatable although it is a genetic risk , one can not be entire sure because the genetic information could possibly result from the families of either parents - his maternal and paternal uncles , aunts or cousin .","The issue of the right to know or not to know is highly . Although although it is a genetic risk , one can not entirely entire sure because the genetic information could occur in from family families of parent parents his maternal and paternal uncles , aunts or cousins .",A 2 3|||Prep|||of|||REQUIRED|||-NONE-|||0; A 3 3|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 13 14|||Srun|||. Although|||REQUIRED|||-NONE-|||0; A 24 25|||Wform|||entirely|||REQUIRED|||-NONE-|||0; A 32 33|||Wci|||occur|||REQUIRED|||-NONE-|||0; A 33 34|||Prep|||in|||REQUIRED|||-NONE-|||0; A 35 36|||Nn|||family|||REQUIRED|||-NONE-|||0; A 38 39|||Nn|||parent|||REQUIRED|||-NONE-|||0; A 40 41|||Pref||||||REQUIRED|||-NONE-|||0; A 48 49|||Nn|||cousins|||REQUIRED|||-NONE-|||0
"This also means that as soon a person is made aware of his or her genetic profile , he or she concurently has a knowledge about others .","This also means that as soon as a person is made aware of his or her genetic profile , he or concurrently concurently a knowledge about others ' .",A 6 6|||Wci|||as|||REQUIRED|||-NONE-|||0; A 21 22|||Mec|||concurrently|||REQUIRED|||-NONE-|||0; A 23 24|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 27 27|||Npos|||'|||REQUIRED|||-NONE-|||0
"This knowledge maybe relavant to them , and vice versa .","This knowledge may be relevant to them , and vice versa .",A 2 3|||Mec|||may be|||REQUIRED|||-NONE-|||0; A 3 4|||Mec|||relevant|||REQUIRED|||-NONE-|||0
An example that may serve as an illustration is breast cancer .,An example that may serve as an illustration is breast cancer .,NONE
It is hereditary .,It is hereditary .,NONE
Do one who suffered from this disease keep it a secret of infrom their relatives ?,Should one who suffered from this disease keep it a secret or inform their relatives ?,A 0 1|||Vm|||Should|||REQUIRED|||-NONE-|||0; A 11 12|||Mec|||or|||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||inform|||REQUIRED|||-NONE-|||0
"In retrospect , its is also ones duty to ensure that he or she undergo periodic healthchecks in their own .","In retrospect , it is also one 's duty to ensure that he or she undergoes periodic health checks of their own .",A 3 4|||Mec|||it|||REQUIRED|||-NONE-|||0; A 6 7|||Npos|||one 's|||REQUIRED|||-NONE-|||0; A 14 15|||SVA|||undergoes|||REQUIRED|||-NONE-|||0; A 16 17|||Mec|||health checks|||REQUIRED|||-NONE-|||0; A 17 18|||Prep|||of|||REQUIRED|||-NONE-|||0
Sometimes some family structure and cultural beliefs can influence the pattern of communication .,Sometimes family structure and cultural beliefs can influence the pattern of communication .,A 1 2|||Rloc-||||||REQUIRED|||-NONE-|||0
"Depending on whom the genetic risk was discovered from : the son or daughter for example , the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed ' to tell .","Depending on whom the genetic risk was discovered from : the son or daughter for example , the parents who know about this would decide who gets told and who takes precedence in being 'allowed ' to tell .",A 20 21|||SVA|||know|||REQUIRED|||-NONE-|||0; A 29 30|||Pform|||who|||REQUIRED|||-NONE-|||0; A 31 32|||ArtOrDet||||||REQUIRED|||-NONE-|||0
"For example , within a family , regardless of who had first received genetic information , parents were seen as having the primary responsibility to pass on information to any offspring , either adult at risk .","For example , within a family , regardless of who has first received the genetic information , would be were seen as having the primary responsibility to pass on information to any risk .",A 10 11|||Vt|||has|||REQUIRED|||-NONE-|||0; A 13 13|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 17 18|||Vm|||would be|||REQUIRED|||-NONE-|||0; A 31 36|||Um||||||REQUIRED|||-NONE-|||0
"In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself , although this may be further complicated by an individual 's response to risk information as they not want to know .","In addition , a woman who tested positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself , although this may be further complicated by an individual 's response to risk information that they do not want to know .",A 5 6|||Vform|||who tested|||REQUIRED|||-NONE-|||0; A 47 48|||ArtOrDet|||that|||REQUIRED|||-NONE-|||0; A 49 49|||V0|||do|||REQUIRED|||-NONE-|||0
"Hence , there were also tensions if participants felt that they could neither pass on information to relatives who needed to know ( such as nieces and nephews ) nor persuade those with authority ( the parents ) to do so .","Hence , there would also tension tensions if participants felt that they could neither pass on information to relatives who needed to know ( such as nieces and nephews , ) nor persuade those with authority ( the parents ) to do so .","A 3 4|||Vm|||would|||REQUIRED|||-NONE-|||0; A 5 5|||V0|||be|||REQUIRED|||-NONE-|||0; A 5 6|||Nn|||tension|||REQUIRED|||-NONE-|||0; A 29 29|||Mec|||,|||REQUIRED|||-NONE-|||0"
The notion of authority also extended 'vertically' .,The notion of authority also extends 'vertically' .,A 5 6|||Vt|||extends|||REQUIRED|||-NONE-|||0
"For example , a grandmother may have more authority to pass on information than an aunt , even when she is not at genetic risk herself while the aunt is .","For example , a grandmother may have more authority to pass on information than an aunt , even when she is not at genetic risk herself , while the aunt is .","A 26 26|||Mec|||,|||REQUIRED|||-NONE-|||0"
"From a practitioner 's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context .","From a practitioner 's perspective these findings are important because they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context .",A 10 22|||Um||||||REQUIRED|||-NONE-|||0
"Ultimately , one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure .","Ultimately , one must bring attention to who may benefit from such information and assist those at risk to make considered decisions about disclosure .",A 14 15|||Spar|||assist|||REQUIRED|||-NONE-|||0
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive ' the risk is to them .,Whose duty it is to inform relatives who are at risk or not greatly depends on the personal and the morals of how 'directive ' the risk is to them .,A 6 9|||WOinc|||relatives who are at risk|||REQUIRED|||-NONE-|||0; A 14 15|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 16 17|||Nn|||morals|||REQUIRED|||-NONE-|||0
People with close blood relationship generally carry some similar genes .,People with close blood relationships generally carry some similar genes .,A 4 5|||Nn|||relationships|||REQUIRED|||-NONE-|||0
"In this case , if one of the family members or close relatives is found to carry genetic risk , it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows .","In this case , if one of the family members or close relatives is found to carry a genetic risk , it is better for the patient to their his/her close relatives about the issue and let know known about the risk so their family familay members are able to perform some exercises excesses to prevent the potential , disease could they may go to hospital and check corresponding flaws correspongding flows .","A 17 17|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 28 29|||Pform|||their|||REQUIRED|||-NONE-|||0; A 37 38|||Vform|||know|||REQUIRED|||-NONE-|||0; A 43 44|||Pref|||their|||REQUIRED|||-NONE-|||0; A 44 45|||Mec|||family|||REQUIRED|||-NONE-|||0; A 52 53|||Mec|||exercises|||REQUIRED|||-NONE-|||0; A 58 58|||Mec|||,|||REQUIRED|||-NONE-|||0; A 60 61|||Vm|||could|||REQUIRED|||-NONE-|||0; A 68 69|||Mec|||corresponding|||REQUIRED|||-NONE-|||0; A 69 70|||Mec|||flaws|||REQUIRED|||-NONE-|||0"
"In my opinion , although the annouance of carrying a genetic risk involves the issue of self privacy , it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease .","In my opinion , although the announcement of carrying genetic risk involves the issue of self , it is necessary for the carrier to be to issue to his raise her relatives with order for them to prevent the potential disease .",A 6 7|||Mec|||announcement|||REQUIRED|||-NONE-|||0; A 9 10|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 25 26|||Prep||||||REQUIRED|||-NONE-|||0; A 26 28|||Rloc-||||||REQUIRED|||-NONE-|||0; A 29 30|||Wci|||raise|||REQUIRED|||-NONE-|||0; A 32 33|||Prep|||with|||REQUIRED|||-NONE-|||0
I agree with this statement to a large extent .,I agree with this statement to a large extent .,NONE
Focus on the negative side of the annouance of genetic risk first .,Let us focus on the negative side of the announcement of genetic risk first .,A 0 1|||Others|||Let us focus|||REQUIRED|||-NONE-|||0; A 7 8|||Mec|||announcement|||REQUIRED|||-NONE-|||0
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease .,Large numbers of patients with a genetic risk would want to keep it a secret as the genetic risk may indicates indicate high chance to of carrying a disease .,A 5 6|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 13 14|||Prep||||||REQUIRED|||-NONE-|||0; A 21 22|||SVA|||indicate|||REQUIRED|||-NONE-|||0; A 25 26|||Prep|||of|||REQUIRED|||-NONE-|||0; A 26 27|||Vform|||carrying|||REQUIRED|||-NONE-|||0; A 27 27|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
"Especially for the young people without marrige , if he/she is known to have some genetic risk , it may have certain chance that his/her child would carry the same disease , but not in certain .","Especially for young people unmarried people if he/she is known they are some genetic risk , it may have there may be a his/her child would carry the their disease , but not in certain . for",A 2 3|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 4 7|||Wci|||unmarried people|||REQUIRED|||-NONE-|||0; A 9 10|||Pref|||they|||REQUIRED|||-NONE-|||0; A 10 11|||SVA|||are|||REQUIRED|||-NONE-|||0; A 18 21|||Wci|||there may be a|||REQUIRED|||-NONE-|||0; A 24 25|||Pref|||their|||REQUIRED|||-NONE-|||0; A 34 35|||Prep|||for|||REQUIRED|||-NONE-|||0
"Therefore , to keep the information as secret to his/her future spouce would help the relationship .","Therefore , keep keeping information as a to from their spouce spouse help the relationship .",A 2 3|||Prep||||||REQUIRED|||-NONE-|||0; A 3 4|||Vform|||keeping|||REQUIRED|||-NONE-|||0; A 6 7|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 8 9|||Prep|||from|||REQUIRED|||-NONE-|||0; A 9 10|||Pref|||their|||REQUIRED|||-NONE-|||0; A 11 12|||Mec|||spouse|||REQUIRED|||-NONE-|||0
"Secondly , annouance the potential risk would cause the family member to be scared of this certain issue , although the factor would not be that serious , people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease , and this creats unnecessary costs to the family .","Secondly , announcing the potential risk would cause the family member to be scared of this issue , although and the factor would not be that serious , people would still fear that they would get some potential disease in the future and thus go to to and do checks check or take more medicine in order to prevent the disease , and would create creats unnecessary costs to the family .",A 2 3|||Vform|||announcing|||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 19 19|||Trans|||and|||REQUIRED|||-NONE-|||0; A 35 36|||Wci|||get|||REQUIRED|||-NONE-|||0; A 42 42|||Trans|||and|||REQUIRED|||-NONE-|||0; A 46 47|||Prep|||to|||REQUIRED|||-NONE-|||0; A 49 50|||Nn|||checks|||REQUIRED|||-NONE-|||0; A 63 64|||Vm|||would create|||REQUIRED|||-NONE-|||0
"Furthermore , the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease .","Furthermore , the announcement of genetic risk would affect the relationship with relatives as sometimes others may think not want stay too close to the carrier so that to ensure have less chance to get of getting disease .",A 3 4|||Mec|||announcement|||REQUIRED|||-NONE-|||0; A 12 13|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 18 20|||Wci|||not want|||REQUIRED|||-NONE-|||0; A 27 28|||Vform|||to ensure|||REQUIRED|||-NONE-|||0; A 33 34|||Prep|||of|||REQUIRED|||-NONE-|||0; A 34 35|||Vform|||getting|||REQUIRED|||-NONE-|||0
"On the other hand , if the genetic risk is kept as a secret , although it may benefit the carrier to a certain extend and help to keep the privacy , but it has much larger negative impacts to the family members and relatives .","On the other hand , if the genetic risk is kept secret , although it may benefit the carrier to a certain extend and extent to keep privacy , their it has larger negative will have a to the impact on their relatives .",A 11 13|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 24 25|||Mec|||extent|||REQUIRED|||-NONE-|||0; A 27 28|||Vform||||||REQUIRED|||-NONE-|||0; A 29 30|||Pform|||their|||REQUIRED|||-NONE-|||0; A 32 33|||Trans||||||REQUIRED|||-NONE-|||0; A 34 35|||Vm|||will have|||REQUIRED|||-NONE-|||0; A 35 35|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 38 39|||Wform|||impact|||REQUIRED|||-NONE-|||0; A 39 40|||Prep|||on|||REQUIRED|||-NONE-|||0; A 40 41|||Pform|||their|||REQUIRED|||-NONE-|||0
"First , for the case of marrige , people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings .","First , in the case of marriage , a person should be honest and tell their spouse they may carry a certain genetic risk that may affect offspring offsprings .",A 2 3|||Prep|||in|||REQUIRED|||-NONE-|||0; A 6 7|||Mec|||marriage|||REQUIRED|||-NONE-|||0; A 8 9|||Nn|||a person|||REQUIRED|||-NONE-|||0; A 14 15|||Pform|||their|||REQUIRED|||-NONE-|||0; A 15 16|||Mec|||spouse|||REQUIRED|||-NONE-|||0; A 19 19|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 26 27|||Nn|||offspring|||REQUIRED|||-NONE-|||0
It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found .,It is better to let the other party know this fact now rather than a the baby is born and certain type of genetic disease is found .,A 9 10|||ArtOrDet|||this|||REQUIRED|||-NONE-|||0; A 11 11|||Others|||now rather|||REQUIRED|||-NONE-|||0; A 13 14|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
It is better for both parties to be honest .,It is better for both parties to be honest .,NONE
"Secondly , genetic disease has a close relationship with the born gene together with their daily habits .","Secondly , genetic disease has a close relationship with the together with their daily habits .",A 10 12|||Um||||||REQUIRED|||-NONE-|||0
"For example , if a carrier is told that he/she has the risk to have diabetes .","For example , if a carrier is told that they have the risk of having diabetes .",A 9 10|||Pform|||they|||REQUIRED|||-NONE-|||0; A 10 11|||SVA|||have|||REQUIRED|||-NONE-|||0; A 13 15|||Vform|||of having|||REQUIRED|||-NONE-|||0
"In this case , the carrier can eat less candies and chocolates to prevent intake to much sugars , and at the same time , if the carrier tell this information to the relatives , it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease .","In this case , the carrier could eat less candy and chocolate and prevent intake of too much sugar , and at the same time , if the carrier tells this information to their relatives , it will be useful for them to know that they may have diabetes in the future because of related genes and they can perform the same exercises to take in less sugar to prevent the disease .",A 6 7|||Vm|||could|||REQUIRED|||-NONE-|||0; A 9 10|||Nn|||candy|||REQUIRED|||-NONE-|||0; A 11 12|||Nn|||chocolate|||REQUIRED|||-NONE-|||0; A 12 13|||Trans|||and|||REQUIRED|||-NONE-|||0; A 15 16|||Prep|||of too|||REQUIRED|||-NONE-|||0; A 17 18|||Nn|||sugar|||REQUIRED|||-NONE-|||0; A 28 29|||Vform|||tells|||REQUIRED|||-NONE-|||0; A 32 33|||Pform|||their|||REQUIRED|||-NONE-|||0; A 51 52|||Mec|||because|||REQUIRED|||-NONE-|||0; A 61 62|||Nn|||exercises|||REQUIRED|||-NONE-|||0; A 63 64|||Vform|||take in|||REQUIRED|||-NONE-|||0
"Otherwise , if the other parties did not know , they may end up with to have diabete in the future without any prevention .","Otherwise , if the other parties did not know , they may end up with have in diabetes future without any prevention .",A 15 16|||Prep||||||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 17 18|||Mec|||diabetes|||REQUIRED|||-NONE-|||0
"In conclusion , we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs .","In conclusion , we can tell that the benefits of the carrier 's relatives about their genetic risk relatives overweights the costs . overweighs",A 4 5|||Vt|||can|||REQUIRED|||-NONE-|||0; A 6 6|||Prep|||that|||REQUIRED|||-NONE-|||0; A 10 16|||WOinc|||the carrier 's relatives about their genetic risk|||REQUIRED|||-NONE-|||0; A 16 17|||Mec|||overweighs|||REQUIRED|||-NONE-|||0
"Therefore , it would be better for the carrier to be obligated to tell the information to the relatives , in order to let them know and prevent the potential disease through daily exercises .","Therefore , it would be better for the carrier to be obligated to tell the information to their relatives , in order to let them know and prevent the potential disease through daily exercises .",A 17 18|||Pform|||their|||REQUIRED|||-NONE-|||0
"Among all kinds of different diseases , a large amount of different kinds of disorders are caused by genetic reasons .","Among all kinds of different diseases , a large amount of disorders are caused by genetic reasons . factors",A 11 14|||Rloc-||||||REQUIRED|||-NONE-|||0; A 19 20|||Wci|||factors|||REQUIRED|||-NONE-|||0
Genetic disorder may or may not be hirataged hereditary disease and it is sometimes hard to find out one has these kinds of diseases .,Genetic disorders may or may not be inherited hereditary diseases and it is sometimes hard to find out if one one of has these kinds of diseases .,A 1 2|||Nn|||disorders|||REQUIRED|||-NONE-|||0; A 7 8|||Mec|||inherited|||REQUIRED|||-NONE-|||0; A 9 10|||Nn|||diseases|||REQUIRED|||-NONE-|||0; A 18 18|||Trans|||if|||REQUIRED|||-NONE-|||0; A 20 20|||Prep|||one of|||REQUIRED|||-NONE-|||0
It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene .,It has long been debated whether a carrier of a known genetic risk should be obligated to tell his or her relatives that their disease is caused by their genes,A 1 7|||Others|||has long been debated|||REQUIRED|||-NONE-|||0; A 20 23|||Pref|||their|||REQUIRED|||-NONE-|||0; A 25 28|||Pref|||their|||REQUIRED|||-NONE-|||0; A 32 33|||Nn|||genes|||REQUIRED|||-NONE-|||0
"From the legal aspect , the answer is no but from the ethical aspect , the answer should be yes .","From a legal aspect , the answer is no . But from an ethical aspect , the answer should be yes .",A 1 2|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 9 10|||Srun|||. But|||REQUIRED|||-NONE-|||0; A 11 12|||ArtOrDet|||an|||REQUIRED|||-NONE-|||0
We ca n't make a law to push a carrier of a known genetic risk to tell his or her relatives about his genetic problem .,We can not make a law to push a carrier of a known genetic risk to tell his their about his genetic problem their,A 1 3|||Wtone|||can not|||REQUIRED|||-NONE-|||0; A 17 20|||Pref|||their|||REQUIRED|||-NONE-|||0; A 22 23|||Pref|||their|||REQUIRED|||-NONE-|||0
It is immoral and impractical .,It is immoral and impractical .,NONE
"Firstly , someone having what kinds of disease belongs to his or her privacy .","Firstly , someone having some kind of disease is a matter of his their own .",A 4 5|||ArtOrDet|||some|||REQUIRED|||-NONE-|||0; A 5 6|||Nn|||kind|||REQUIRED|||-NONE-|||0; A 8 10|||Wci|||is a matter of|||REQUIRED|||-NONE-|||0; A 10 13|||Pref|||their own|||REQUIRED|||-NONE-|||0
Privicy protection belongs to one 's human rights .,Privacy protection is part of one 's human rights .,A 0 1|||Mec|||Privacy|||REQUIRED|||-NONE-|||0; A 2 4|||Wci|||is part of|||REQUIRED|||-NONE-|||0
If a law requires someone to tell others ' his or her privacy especially when the one is not willing to do so .,"If a law requires someone to tell others his their especially when private matters , one is they to are so .","A 8 9|||Npos||||||REQUIRED|||-NONE-|||0; A 9 12|||Pref|||their|||REQUIRED|||-NONE-|||0; A 12 13|||Wci|||private matters ,|||REQUIRED|||-NONE-|||0; A 15 17|||Pform|||they|||REQUIRED|||-NONE-|||0; A 17 18|||SVA|||are|||REQUIRED|||-NONE-|||0"
It is againt his or her human rights and it is against the law 's spirit .,It is againt their human rights and it is against the law 's spirit .,A 3 6|||Pref|||their|||REQUIRED|||-NONE-|||0
The law 's spirit also include the fairness .,The law 's spirit also includes fairness .,A 5 6|||SVA|||includes|||REQUIRED|||-NONE-|||0; A 6 7|||ArtOrDet||||||REQUIRED|||-NONE-|||0
What is the basic difference between genetic disorder and other disorders .,What is the basic difference between genetic disorders and other disorders ?,A 7 8|||Nn|||disorders|||REQUIRED|||-NONE-|||0; A 11 12|||Mec|||?|||REQUIRED|||-NONE-|||0
It is unfair to release a law only point to the genetic disorder .,It is unfair to release a law only pointing to genetic disorder disorders,A 8 9|||Vform|||pointing|||REQUIRED|||-NONE-|||0; A 10 11|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 12 13|||Nn|||disorders|||REQUIRED|||-NONE-|||0
"In addition , it is impractical to make such a law .","In addition , it is impractical to make such a law .",NONE
A good law should be clear and easy to execute .,A good law should be clear and easy to execute .,NONE
