source,target,annotation
"On one hand , we do not want this potential danger causing firghtenning affects in our families ' later lives .","On one hand , we do not want this potential danger cause frightening firghtenning on in our families later lives .",A 11 11|||Prep|||to|||REQUIRED|||-NONE-|||0; A 11 12|||Vform|||cause|||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||frightening|||REQUIRED|||-NONE-|||0; A 14 15|||Prep|||on|||REQUIRED|||-NONE-|||0; A 18 19|||Rloc-||||||REQUIRED|||-NONE-|||0
"When people around us know that we got certain disease , their altitudes will be easily changed , whether caring us too much or keeping away from us .",When the people around us know that have a got certain disease attitudes may will be change changed either by for whether caring us staying too much or keeping away from us .,A 1 1|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 7 8|||Vform|||have|||REQUIRED|||-NONE-|||0; A 8 8|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||attitudes|||REQUIRED|||-NONE-|||0; A 13 14|||Vm|||may|||REQUIRED|||-NONE-|||0; A 14 15|||Vform||||||REQUIRED|||-NONE-|||0; A 16 17|||Vform|||change|||REQUIRED|||-NONE-|||0; A 18 19|||Wci|||either|||REQUIRED|||-NONE-|||0; A 19 19|||Prep|||by|||REQUIRED|||-NONE-|||0; A 20 20|||Prep|||for|||REQUIRED|||-NONE-|||0; A 24 24|||Prep|||by|||REQUIRED|||-NONE-|||0; A 24 25|||Wci|||staying|||REQUIRED|||-NONE-|||0
And both are not what we want since most of us just want to live as normal people .,both Neither not we want since most of us just want to live as normal like .,A 0 1|||Rloc-||||||REQUIRED|||-NONE-|||0; A 1 2|||Wci|||Neither|||REQUIRED|||-NONE-|||0; A 3 4|||Rloc-||||||REQUIRED|||-NONE-|||0; A 15 16|||Prep|||like|||REQUIRED|||-NONE-|||0
"Surrounded by such concerns , it is very likely that we are distracted to worry about these problems .","Surrounded by such concerns , it is very likely that we will become distracted worry worrying these problems .",A 11 12|||Vt|||will become|||REQUIRED|||-NONE-|||0; A 13 14|||Prep||||||REQUIRED|||-NONE-|||0; A 14 15|||Vform|||worrying|||REQUIRED|||-NONE-|||0
"It is a concern that will be with us during our whole life , because we will never know when the ''potential bomb' ' will explode .","It is a concern that will be with us throughout our whole life , because we will never know when the ''potential bomb' ' is going to explode .",A 9 10|||Prep|||throughout|||REQUIRED|||-NONE-|||0; A 24 25|||Vform|||is going|||REQUIRED|||-NONE-|||0; A 25 25|||Prep|||to|||REQUIRED|||-NONE-|||0
"On the other hand , if there are ways can help us to control or cure the disease , we can going through thses process from the scope of the whole family .","On the other hand , if there are ways to help us control or cure the a , we can going go thses these processes with whole family .",A 9 10|||Vm|||to|||REQUIRED|||-NONE-|||0; A 12 13|||Prep||||||REQUIRED|||-NONE-|||0; A 16 17|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||go|||REQUIRED|||-NONE-|||0; A 23 24|||Mec|||these|||REQUIRED|||-NONE-|||0; A 24 25|||Nn|||processes|||REQUIRED|||-NONE-|||0; A 25 26|||Prep|||with|||REQUIRED|||-NONE-|||0; A 26 29|||Rloc-||||||REQUIRED|||-NONE-|||0
"For an example , if exercising is helpful for family potential disease , we can always look for more chances for the family to go exercise .","For example , if exercising is helps prevent potential disease we a can always look for chances for the family opportunities go exercise .",A 1 2|||Prep||||||REQUIRED|||-NONE-|||0; A 6 9|||Sfrag|||helps prevent|||REQUIRED|||-NONE-|||0; A 9 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 10 10|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 15 16|||Rloc-||||||REQUIRED|||-NONE-|||0; A 19 20|||Wci|||opportunities|||REQUIRED|||-NONE-|||0; A 24 25|||Rloc-||||||REQUIRED|||-NONE-|||0
And we keep track of all family members health conditions .,we We can track of all family members health ' conditions,A 0 1|||Rloc-||||||REQUIRED|||-NONE-|||0; A 1 2|||Vm|||We can|||REQUIRED|||-NONE-|||0; A 8 8|||Mec|||'|||REQUIRED|||-NONE-|||0; A 10 11|||Mec||||||REQUIRED|||-NONE-|||0
"At the same time , we are prepared to know when there are other members got this disease .","and at the same time , we are prepared when there for members got a member gets the",A 0 1|||Trans|||and at|||REQUIRED|||-NONE-|||0; A 8 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 10 10|||Prep|||for|||REQUIRED|||-NONE-|||0; A 11 13|||Rloc-||||||REQUIRED|||-NONE-|||0; A 13 14|||Wform|||a|||REQUIRED|||-NONE-|||0; A 14 15|||Nn|||member|||REQUIRED|||-NONE-|||0; A 15 16|||Vform|||gets|||REQUIRED|||-NONE-|||0; A 16 17|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
Here I want to share Forest'view on this issue .,Here I want to share Forest 's view on this issue .,A 5 6|||Mec|||Forest 's view|||REQUIRED|||-NONE-|||0
"Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to his or her siblings , there currently is no legal requirement to do so .","Although some people feel that an individual who is found to carry the dominant gene for Huntington 's disease has an ethical obligation to disclose this fact to their siblings , there currently is is currently requirement to do so .",A 12 13|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 25 26|||Pform|||this|||REQUIRED|||-NONE-|||0; A 28 31|||Pform|||their|||REQUIRED|||-NONE-|||0; A 34 36|||WOadv|||is currently|||REQUIRED|||-NONE-|||0
"In fact , requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious .","In fact , requiring someone to communicate their own genetic risk to family members who are , therefore at risk is considered , by many to be ethically dubious .","A 7 10|||Pform|||their|||REQUIRED|||-NONE-|||0; A 16 16|||Srun|||,|||REQUIRED|||-NONE-|||0; A 18 19|||Rloc-||||||REQUIRED|||-NONE-|||0; A 22 22|||Srun|||,|||REQUIRED|||-NONE-|||0"
"""",,A 0 1|||Mec||||||REQUIRED|||-NONE-|||0
Nothing is absolute right or wrong .,Nothing is absolutely right or wrong .,A 2 3|||Wform|||absolutely|||REQUIRED|||-NONE-|||0
"If certain disease genetic test is very accurate and it is unavoidable and necessary to get treatment and known by others , it is OK to disclose the result .","If a certain 's disease genetic test is very accurate and it is unavoidable and necessary to others , it is OK to disclose the result .",A 1 1|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 3 3|||Npos|||'s|||REQUIRED|||-NONE-|||0; A 17 22|||Um||||||REQUIRED|||-NONE-|||0
"Above all , life is more important than secret .","Above all , life is more important than secrets .",A 8 9|||Nn|||secrets|||REQUIRED|||-NONE-|||0
Genetic risk does carry its consequences and should not be taken lightly within the family circle .,Genetic risk does carry consequences and should not be taken lightly within the family circle .,A 4 5|||Rloc-||||||REQUIRED|||-NONE-|||0
"Afterall , what affects one family may or may not affect another although the families has a common genetic make up , shared by either of the parents .","After all , what affects one family member may or may not affect even though although family families has a common genetic make up , shared by either of the parents .",A 0 1|||Mec|||After all|||REQUIRED|||-NONE-|||0; A 6 6|||Wci|||member|||REQUIRED|||-NONE-|||0; A 12 13|||Wci|||even though|||REQUIRED|||-NONE-|||0; A 14 15|||Nn|||family|||REQUIRED|||-NONE-|||0
"In cases where an individual has gotten to know of a genetic disorder , disclosing or otherwise , to his or her relative is solely a matter of preference within the indivdial moral system .","In cases where an individual knows of a genetic disorder , disclosing or otherwise , it to or her their a matter relatives preference within the indivdial moral system . an individual 's",A 5 9|||Vform|||knows|||REQUIRED|||-NONE-|||0; A 15 15|||Pref|||it|||REQUIRED|||-NONE-|||0; A 17 18|||Srun||||||REQUIRED|||-NONE-|||0; A 19 22|||Pform|||their|||REQUIRED|||-NONE-|||0; A 22 23|||Nn|||relatives|||REQUIRED|||-NONE-|||0; A 30 31|||ArtOrDet|||an|||REQUIRED|||-NONE-|||0; A 31 32|||Mec|||individual 's|||REQUIRED|||-NONE-|||0
"The issue on right to know or not to know is highly debatable although it is a genetic risk , one can not be entire sure because the genetic information could possibly result from the families of either parents - his maternal and paternal uncles , aunts or cousin .","The issue on the right to know or to is highly debatable although ; there is a genetic risk , one can not be entirely sure who to because the genetic information could possibly result from the families of parent parents their his maternal and paternal uncles , aunts cousins cousin .",A 3 3|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 8 9|||Prep||||||REQUIRED|||-NONE-|||0; A 9 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 13 13|||Mec|||;|||REQUIRED|||-NONE-|||0; A 14 15|||Pform|||there|||REQUIRED|||-NONE-|||0; A 24 25|||Wform|||entirely|||REQUIRED|||-NONE-|||0; A 26 26|||Others|||who to|||REQUIRED|||-NONE-|||0; A 38 39|||Nn|||parent|||REQUIRED|||-NONE-|||0; A 40 41|||Pform|||their|||REQUIRED|||-NONE-|||0; A 48 49|||Nn|||cousins|||REQUIRED|||-NONE-|||0
"This also means that as soon a person is made aware of his or her genetic profile , he or she concurently has a knowledge about others .","This also means that as soon as a person is made aware their her genetic profile , he they has a consequently have . information",A 6 6|||Trans|||as|||REQUIRED|||-NONE-|||0; A 12 15|||Pform|||their|||REQUIRED|||-NONE-|||0; A 18 21|||Pform|||they|||REQUIRED|||-NONE-|||0; A 21 22|||Wci|||consequently|||REQUIRED|||-NONE-|||0; A 22 23|||SVA|||have|||REQUIRED|||-NONE-|||0; A 23 24|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 24 25|||Wci|||information|||REQUIRED|||-NONE-|||0
"This knowledge maybe relavant to them , and vice versa .","This knowledge may be relavant to them , and vice versa .",A 2 3|||Wform|||may be|||REQUIRED|||-NONE-|||0
An example that may serve as an illustration is breast cancer .,An example that may serve as an illustration is breast cancer .,NONE
It is hereditary .,It is hereditary .,NONE
Do one who suffered from this disease keep it a secret of infrom their relatives ?,does one who has suffered from this disease keep it a of from their relatives ?,A 0 1|||Vform|||does|||REQUIRED|||-NONE-|||0; A 3 3|||V0|||has|||REQUIRED|||-NONE-|||0; A 11 12|||Prep||||||REQUIRED|||-NONE-|||0; A 12 13|||Prep|||from|||REQUIRED|||-NONE-|||0
"In retrospect , its is also ones duty to ensure that he or she undergo periodic healthchecks in their own .","In retrospect , it is also one 's duty to ensure that they undergo periodic healthchecks in their on .",A 3 4|||Pform|||it|||REQUIRED|||-NONE-|||0; A 6 7|||Mec|||one 's|||REQUIRED|||-NONE-|||0; A 11 14|||Pform|||they|||REQUIRED|||-NONE-|||0; A 17 18|||Prep|||on|||REQUIRED|||-NONE-|||0
Sometimes some family structure and cultural beliefs can influence the pattern of communication .,Sometimes family structure structures cultural beliefs can influence the pattern of communication .,A 1 2|||Rloc-||||||REQUIRED|||-NONE-|||0; A 3 4|||Nn|||structures|||REQUIRED|||-NONE-|||0
"Depending on whom the genetic risk was discovered from : the son or daughter for example , the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed ' to tell .","Depending on who the genetic risk was discovered in , the son or daughter for example , the parents , know knows the risk , this would decide who gets who and takes the precedence in being 'allowed ' to tell .","A 2 3|||Pform|||who|||REQUIRED|||-NONE-|||0; A 8 9|||Prep|||in|||REQUIRED|||-NONE-|||0; A 9 10|||Mec|||,|||REQUIRED|||-NONE-|||0; A 19 19|||Srun|||,|||REQUIRED|||-NONE-|||0; A 20 21|||SVA|||know|||REQUIRED|||-NONE-|||0; A 22 23|||Pform|||the risk|||REQUIRED|||-NONE-|||0; A 23 23|||Srun|||,|||REQUIRED|||-NONE-|||0; A 29 30|||Pform|||who|||REQUIRED|||-NONE-|||0; A 31 32|||ArtOrDet||||||REQUIRED|||-NONE-|||0"
"For example , within a family , regardless of who had first received genetic information , parents were seen as having the primary responsibility to pass on information to any offspring , either adult at risk .","For example , within a family , regardless of who first received recieves the information , parents are seen as having the primary responsibility of passing on information to any offspring , .",A 10 11|||Rloc-||||||REQUIRED|||-NONE-|||0; A 12 13|||Vt|||recieves|||REQUIRED|||-NONE-|||0; A 13 13|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 17 18|||Vt|||are|||REQUIRED|||-NONE-|||0; A 24 25|||Prep|||of|||REQUIRED|||-NONE-|||0; A 25 26|||Vform|||passing|||REQUIRED|||-NONE-|||0; A 32 36|||Um||||||REQUIRED|||-NONE-|||0
"In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself , although this may be further complicated by an individual 's response to risk information as they not want to know .","In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself . Although this may be further complicated by an individual 's response to risk information they not did want to know .",A 32 33|||Srun|||.|||REQUIRED|||-NONE-|||0; A 33 34|||Mec|||Although|||REQUIRED|||-NONE-|||0; A 47 48|||Rloc-||||||REQUIRED|||-NONE-|||0; A 49 49|||V0|||did|||REQUIRED|||-NONE-|||0
"Hence , there were also tensions if participants felt that they could neither pass on information to relatives who needed to know ( such as nieces and nephews ) nor persuade those with authority ( the parents ) to do so .","Hence , there can also tension tensions individuals feel felt that can could neither pass the on the information need relatives who needed to know ( such as nieces and nephews ) nor persuade those with authority ( the parents ) to do so .",A 3 4|||Vform|||can|||REQUIRED|||-NONE-|||0; A 5 5|||V0|||be|||REQUIRED|||-NONE-|||0; A 5 6|||Nn|||tension|||REQUIRED|||-NONE-|||0; A 7 8|||Wci|||individuals|||REQUIRED|||-NONE-|||0; A 8 9|||Vt|||feel|||REQUIRED|||-NONE-|||0; A 11 12|||Vm|||can|||REQUIRED|||-NONE-|||0; A 15 15|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 17 17|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 19 20|||Vt|||need|||REQUIRED|||-NONE-|||0
The notion of authority also extended 'vertically' .,The notion of authority also extends 'vertically' .,A 5 6|||Vform|||extends|||REQUIRED|||-NONE-|||0
"For example , a grandmother may have more authority to pass on information than an aunt , even when she is not at genetic risk herself while the aunt is .","For example , a grandmother may have more authority to pass on information than an aunt , even if she is not at genetic risk herself and the aunt is .",A 18 19|||Trans|||if|||REQUIRED|||-NONE-|||0; A 26 27|||Trans|||and|||REQUIRED|||-NONE-|||0
"From a practitioner 's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context .","From a practitioner 's perspective these findings are important because if lay constructs of the family and kinship are social construct constructs may not be in line with geneticists geneticist 's views view family relationships , or about blood ( or non-blood ) relatives should be informed and by whom ; this . It likely to be dependent on the cultural and ethnic context .",A 19 20|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 21 22|||Nn|||constructs|||REQUIRED|||-NONE-|||0; A 29 29|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 29 31|||Mec|||geneticist 's|||REQUIRED|||-NONE-|||0; A 31 32|||Nn|||view|||REQUIRED|||-NONE-|||0; A 37 38|||Rloc-||||||REQUIRED|||-NONE-|||0; A 51 52|||Srun|||.|||REQUIRED|||-NONE-|||0; A 52 53|||Pform|||It|||REQUIRED|||-NONE-|||0
"Ultimately , one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure .","Ultimately , one must bring attention to who will benefit from such information and assist those at risk to make considered decisions about disclosure .",A 8 9|||Vm|||will|||REQUIRED|||-NONE-|||0; A 14 15|||Vform|||assist|||REQUIRED|||-NONE-|||0
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive ' the risk is to them .,The decision is inform whether at risk relatives or depends on the personal moral their the morals of the risk is to 'direct .,A 0 1|||ArtOrDet|||The|||REQUIRED|||-NONE-|||0; A 1 2|||Wci|||decision|||REQUIRED|||-NONE-|||0; A 2 3|||Rloc-||||||REQUIRED|||-NONE-|||0; A 3 4|||Rloc-||||||REQUIRED|||-NONE-|||0; A 4 4|||Trans|||whether|||REQUIRED|||-NONE-|||0; A 9 11|||Rloc-||||||REQUIRED|||-NONE-|||0; A 14 15|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 16 17|||Nn|||morals|||REQUIRED|||-NONE-|||0; A 18 21|||Rloc-||||||REQUIRED|||-NONE-|||0; A 22 23|||Wform|||'direct|||REQUIRED|||-NONE-|||0
People with close blood relationship generally carry some similar genes .,People with close blood relationships generally carry some similar genes .,A 4 5|||Nn|||relationships|||REQUIRED|||-NONE-|||0
"In this case , if one of the family members or close relatives is found to carry genetic risk , it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows .","In this case , if one of the family members or close relatives is found to carry a genetic risk , it is better for the patient to their his/her close relatives about the issue and them know known about risks . that his/her Their family are able then to perform some daily exercises in order to prevent the potential disease may go to hospital the and check for the corresponding flaws .",A 17 17|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 28 29|||Pform|||their|||REQUIRED|||-NONE-|||0; A 36 37|||Pform|||them|||REQUIRED|||-NONE-|||0; A 37 38|||Vform|||know|||REQUIRED|||-NONE-|||0; A 40 41|||Srun|||risks .|||REQUIRED|||-NONE-|||0; A 41 43|||Rloc-||||||REQUIRED|||-NONE-|||0; A 43 44|||Pform|||Their|||REQUIRED|||-NONE-|||0; A 44 45|||Mec|||family|||REQUIRED|||-NONE-|||0; A 47 47|||Trans|||then|||REQUIRED|||-NONE-|||0; A 52 53|||Mec|||exercises|||REQUIRED|||-NONE-|||0; A 53 53|||Trans|||in order|||REQUIRED|||-NONE-|||0; A 59 61|||Rloc-||||||REQUIRED|||-NONE-|||0; A 63 63|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 68 69|||Mec|||corresponding|||REQUIRED|||-NONE-|||0; A 69 70|||Mec|||flaws|||REQUIRED|||-NONE-|||0
"In my opinion , although the annouance of carrying a genetic risk involves the issue of self privacy , it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease .","In my opinion , although annouance announcing a genetic risk involves the issue of self privacy , it is necessary for the carrier to be obligated to obliged the issue or her in their to prevent the the issue potential disease .",A 5 6|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 6 7|||Vform|||announcing|||REQUIRED|||-NONE-|||0; A 7 8|||Prep||||||REQUIRED|||-NONE-|||0; A 27 28|||Wci|||obliged|||REQUIRED|||-NONE-|||0; A 30 32|||WOinc||||||REQUIRED|||-NONE-|||0; A 32 33|||Prep||||||REQUIRED|||-NONE-|||0; A 33 36|||Pform|||their|||REQUIRED|||-NONE-|||0; A 37 37|||WOinc|||the issue|||REQUIRED|||-NONE-|||0
I agree with this statement to a large extent .,I agree with this statement to a large extent .,NONE
Focus on the negative side of the annouance of genetic risk first .,Focusing on the negative side of annouance announcing risk first risks,A 0 1|||Wform|||Focusing|||REQUIRED|||-NONE-|||0; A 6 7|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 7 8|||Vform|||announcing|||REQUIRED|||-NONE-|||0; A 8 9|||Prep||||||REQUIRED|||-NONE-|||0; A 10 11|||Nn|||risks|||REQUIRED|||-NONE-|||0
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease .,Large numbers of patients with a genetic risk would want to keep it a secret as because genetic risk may indicates indicate an increased to of carrying a disease .,A 5 6|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 13 14|||Prep||||||REQUIRED|||-NONE-|||0; A 16 17|||Trans|||because|||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||indicate|||REQUIRED|||-NONE-|||0; A 22 23|||ArtOrDet|||an|||REQUIRED|||-NONE-|||0; A 23 24|||Wci|||increased|||REQUIRED|||-NONE-|||0; A 25 26|||Prep|||of|||REQUIRED|||-NONE-|||0; A 26 27|||Vform|||carrying|||REQUIRED|||-NONE-|||0; A 27 27|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
"Especially for the young people without marrige , if he/she is known to have some genetic risk , it may have certain chance that his/her child would carry the same disease , but not in certain .","Especially for young people without not yet married if he/she they are to have some a risk , it there have be that a his/her their would carry the same disease risk but not it is certain .",A 2 3|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 5 6|||Prep|||not yet|||REQUIRED|||-NONE-|||0; A 6 7|||Wform|||married|||REQUIRED|||-NONE-|||0; A 9 10|||Pform|||they|||REQUIRED|||-NONE-|||0; A 10 11|||SVA|||are|||REQUIRED|||-NONE-|||0; A 14 15|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 18 19|||Pform|||there|||REQUIRED|||-NONE-|||0; A 20 21|||Vm|||be|||REQUIRED|||-NONE-|||0; A 21 22|||Rloc-||||||REQUIRED|||-NONE-|||0; A 22 22|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 24 25|||Pform|||their|||REQUIRED|||-NONE-|||0; A 30 31|||Wci|||risk|||REQUIRED|||-NONE-|||0; A 33 33|||V0|||it is|||REQUIRED|||-NONE-|||0; A 34 35|||Prep||||||REQUIRED|||-NONE-|||0
"Therefore , to keep the information as secret to his/her future spouce would help the relationship .","Therefore , keep keeping information as to a from their spouce spouse help the relationship .",A 2 3|||Prep||||||REQUIRED|||-NONE-|||0; A 3 4|||Vform|||keeping|||REQUIRED|||-NONE-|||0; A 6 7|||Rloc-||||||REQUIRED|||-NONE-|||0; A 7 7|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 8 9|||Prep|||from|||REQUIRED|||-NONE-|||0; A 9 10|||Pform|||their|||REQUIRED|||-NONE-|||0; A 11 12|||Mec|||spouse|||REQUIRED|||-NONE-|||0
"Secondly , annouance the potential risk would cause the family member to be scared of this certain issue , although the factor would not be that serious , people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease , and this creats unnecessary costs to the family .","Secondly , announcing the potential risk could cause family member members be fear certain issue the the factor would not be that might , people would still . People they would have some potential might get the future thus go to hospital and therefore , do additional check or take more checks in order to prevent the disease , and this creats . This the could create .","A 2 3|||Vform|||announcing|||REQUIRED|||-NONE-|||0; A 6 7|||Vm|||could|||REQUIRED|||-NONE-|||0; A 8 9|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 10 11|||Nn|||members|||REQUIRED|||-NONE-|||0; A 12 15|||Wci|||fear|||REQUIRED|||-NONE-|||0; A 15 16|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 22 23|||Vm|||might|||REQUIRED|||-NONE-|||0; A 27 28|||Srun|||.|||REQUIRED|||-NONE-|||0; A 28 29|||Mec|||People|||REQUIRED|||-NONE-|||0; A 34 35|||Vm|||might|||REQUIRED|||-NONE-|||0; A 35 36|||Vform|||get|||REQUIRED|||-NONE-|||0; A 36 37|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 42 43|||Trans|||and therefore ,|||REQUIRED|||-NONE-|||0; A 49 50|||Nn|||checks|||REQUIRED|||-NONE-|||0; A 60 61|||Srun|||.|||REQUIRED|||-NONE-|||0; A 61 63|||Trans|||This|||REQUIRED|||-NONE-|||0; A 63 64|||Vt|||could create|||REQUIRED|||-NONE-|||0"
"Furthermore , the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease .","Furthermore , annouance announcing risk a would could the relationship relationships between relatives as sometimes others the relatives think not to if they too to away from so that they chance to get will the potential of getting",A 2 3|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 3 5|||Vform|||announcing|||REQUIRED|||-NONE-|||0; A 5 5|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 7 8|||Vm|||could|||REQUIRED|||-NONE-|||0; A 10 11|||Nn|||relationships|||REQUIRED|||-NONE-|||0; A 11 12|||Trans|||between|||REQUIRED|||-NONE-|||0; A 16 17|||Wci|||the relatives|||REQUIRED|||-NONE-|||0; A 19 19|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 19 20|||Rloc-||||||REQUIRED|||-NONE-|||0; A 20 21|||Vform|||if they|||REQUIRED|||-NONE-|||0; A 22 23|||Rloc-||||||REQUIRED|||-NONE-|||0; A 23 25|||Wci|||away from|||REQUIRED|||-NONE-|||0; A 27 29|||Rloc-||||||REQUIRED|||-NONE-|||0; A 30 30|||Vt|||will|||REQUIRED|||-NONE-|||0; A 33 35|||Vform|||of getting|||REQUIRED|||-NONE-|||0
"On the other hand , if the genetic risk is kept as a secret , although it may benefit the carrier to a certain extend and help to keep the privacy , but it has much larger negative impacts to the family members and relatives .","On the other hand , if the genetic risk is kept a secret , although it may benefit the carrier to a certain extend extent help to keep maintain , their but has much larger a negative impacts impact on family members and relatives .",A 11 12|||Rloc-||||||REQUIRED|||-NONE-|||0; A 24 25|||Mec|||extent|||REQUIRED|||-NONE-|||0; A 28 29|||Wci|||maintain|||REQUIRED|||-NONE-|||0; A 29 30|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 30 30|||Pform|||their|||REQUIRED|||-NONE-|||0; A 32 33|||Rloc-||||||REQUIRED|||-NONE-|||0; A 35 35|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 38 39|||Nn|||impact|||REQUIRED|||-NONE-|||0; A 39 40|||Prep|||on|||REQUIRED|||-NONE-|||0
"First , for the case of marrige , people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings .","Firstly , in the case of marriage , people should be honest and tell their spouses that they may a carry certain genetic risk that may offspring their offsprings .",A 0 1|||Wform|||Firstly|||REQUIRED|||-NONE-|||0; A 2 3|||Prep|||in|||REQUIRED|||-NONE-|||0; A 6 7|||Mec|||marriage|||REQUIRED|||-NONE-|||0; A 14 15|||Pform|||their|||REQUIRED|||-NONE-|||0; A 15 16|||Mec|||spouses|||REQUIRED|||-NONE-|||0; A 16 16|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 19 19|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 26 27|||Nn|||offspring|||REQUIRED|||-NONE-|||0
