Before Statements,After Statements,Error Correction,Generated Statements
"It is a concern that will be with us during our whole life, because we will never know when the""potential bomb' ' will explode.","It is a concern that will be with us during our whole life, because we never know when the""potential bomb' ' will explode.","[{'idx_src': [16], 'idx_tgt': [], 'corr_type': 'Vt'}]","It is a concern that will be with us throughout our entire lives, because we will never know when the ""potential bomb"" will explode."
"On the other hand, if there are ways can help us to control or cure the disease, we can going through thses process from the scope of the whole family.","On the other hand, if there are ways that can help us to control or cure the disease, we can go through these processes from the scope of the whole family.","[{'idx_src': [], 'idx_tgt': [9], 'corr_type': 'Ssub'}, {'idx_src': [21], 'idx_tgt': [22], 'corr_type': 'Vform'}, {'idx_src': [23], 'idx_tgt': [24], 'corr_type': 'Mec'}, {'idx_src': [24], 'idx_tgt': [25], 'corr_type': 'Nn'}]","On the other hand, if there are ways that can help us control or cure the disease, we can go through these processes from the scope of the whole family."
"For an example, if exercising is helpful for family potential disease, we can always look for more chances for the family to go exercise.","For example, if exercising is helpful reducing family potential disease, we can always look for more chances for the family to do exercise.","[{'idx_src': [1], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [8], 'idx_tgt': [7], 'corr_type': 'V0'}, {'idx_src': [24], 'idx_tgt': [23], 'corr_type': 'Wci'}]","For instance, if exercising is helpful in reducing the risk of a family member developing a genetic disease, we can always look for more opportunities for the family to engage in physical activity together."
And we keep track of all family members health conditions.,so we keep track of all family members health conditions.,"[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Trans'}]",And we keep track of all family members' health conditions.
"At the same time, we are prepared to know when there are other members got this disease.","At the same time, we are prepared to know when there are other members who have got this disease.","[{'idx_src': [], 'idx_tgt': [15, 16], 'corr_type': 'Ssub'}]","At the same time, we are prepared to know when others have this disease."
Here I want to share Forest'view on this issue.,Here I want to share Forests'sview on this issue.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Npos'}]","Here, I want to share my opinion on this issue."
"Although some people feel that an individual who is found to carry a dominant gene for Huntington's disease has an ethical obligation to disclose that fact to his or her siblings, there currently is no legal requirement to do so.","Although some people feel that an individual who is found to carry a dominant gene for Huntington's disease has an ethical obligation to disclose that fact to his or her siblings, there currently is no legal requirement to do so.",[],"Although some people feel that an individual who is found to carry a dominant gene for Huntington's disease has an ethical obligation to disclose that fact to his or her siblings, there is currently no legal requirement to do so."
"In fact, requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious.","In fact, requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious.",[],"In fact, requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious."
"""","""",[],Please provide the input text you'd like me to correct. I'll review it carefully and provide the corrected version.
Nothing is absolute right or wrong.,Nothing is absolutely right or wrong.,"[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Wform'}]",Nothing is absolute right or wrong.
"If certain disease genetic test is very accurate and it is unavoidable and necessary to get treatment and known by others, it is OK to disclose the result.","If a certain genetic test is very accurate and it is unavoidable and necessary to get treatment and tell others, it is OK to disclose the result.","[{'idx_src': [], 'idx_tgt': [1], 'corr_type': 'ArtOrDet'}, {'idx_src': [2], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Wci'}, {'idx_src': [19], 'idx_tgt': [], 'corr_type': 'Prep'}]","If a genetic test is very accurate and it is unavoidable and necessary to get treatment and know the results, it is okay to disclose the results."
"Above all, life is more important than secret.","Above all, life is more important than secrets.","[{'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'Nn'}]","Above all, life is more important than secrecy."
Genetic risk does carry its consequences and should not be taken lightly within the family circle.,Genetic risk does carry consequences and should not be taken lightly within the family circle.,"[{'idx_src': [4], 'idx_tgt': [], 'corr_type': 'Pref'}]",Genetic risk does carry its consequences and should not be taken lightly within the family circle.
"Afterall, what affects one family may or may not affect another although the families has a common genetic make up, shared by either of the parents.","Afterall, what affects one family may or may not affect another even if the families have a common genetic make up, shared by either of the parents.","[{'idx_src': [12], 'idx_tgt': [12, 13], 'corr_type': 'Trans'}, {'idx_src': [15], 'idx_tgt': [16], 'corr_type': 'SVA'}]","After all, what affects one family may or may not affect another, although both families share a common genetic makeup, shared by either of the parents."
"In cases where an individual has gotten to know of a genetic disorder, disclosing or otherwise, to his or her relative is solely a matter of preference within the indivdial moral system.","In cases where an individual has gotten to know of a genetic disorder, disclosing or otherwise to his or her relative, is solely a matter of preference within the individual moral system.","[{'idx_src': [17], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [22], 'corr_type': 'Mec'}, {'idx_src': [31], 'idx_tgt': [31], 'corr_type': 'Mec'}]","In cases where an individual has learned of a genetic disorder, disclosing or not disclosing it to his or her relatives is solely a matter of personal preference within the individual's moral system."
"The issue on right to know or not to know is highly debatable although it is a genetic risk, one cannot be entire sure because the genetic information could possibly result from the families of either parents - his maternal and paternal uncles, aunts or cousin.","The issue on right to know or not to know is highly debatable . Although it is a genetic risk, one cannot be entirely sure because the genetic information could possibly result from the families of either parents - their maternal and paternal uncles, aunts or cousins.","[{'idx_src': [], 'idx_tgt': [13], 'corr_type': 'Mec'}, {'idx_src': [13], 'idx_tgt': [14], 'corr_type': 'Mec'}, {'idx_src': [24], 'idx_tgt': [25], 'corr_type': 'Wform'}, {'idx_src': [40], 'idx_tgt': [41], 'corr_type': 'Pref'}, {'idx_src': [48], 'idx_tgt': [49], 'corr_type': 'Nn'}]","The issue of whether to know or not to know is highly debatable, although it is a genetic risk, one cannot be entirely sure because the genetic information could potentially come from the families of either parent - his maternal and paternal uncles, aunts, or cousins."
"This also means that as soon a person is made aware of his or her genetic profile, he or she concurently has a knowledge about others.","This also means that as soon as a person is made aware of his or her genetic profile, he or she concurrently has knowledge about others.","[{'idx_src': [], 'idx_tgt': [6], 'corr_type': 'Trans'}, {'idx_src': [21], 'idx_tgt': [22], 'corr_type': 'Mec'}, {'idx_src': [23], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]","This also means that as soon as a person is made aware of his or her genetic profile, he or she concurrently has a knowledge about others."
"This knowledge maybe relavant to them, and vice versa.",This knowledge may be relevant to them or not.,"[{'idx_src': [2], 'idx_tgt': [2, 3], 'corr_type': 'Vm'}, {'idx_src': [3], 'idx_tgt': [4], 'corr_type': 'Mec'}, {'idx_src': [6], 'idx_tgt': [], 'corr_type': 'Mec'}, {'idx_src': [7, 8, 9], 'idx_tgt': [7, 8], 'corr_type': 'Trans'}]","This knowledge may be relevant to them, and vice versa."
An example that may serve as an illustration is breast cancer.,An example that may serve as an illustration is breast cancer.,[],An example that may serve as an illustration is breast cancer.
It is hereditary.,It is hereditary.,[],It is hereditary.
Do one who suffered from this disease keep it a secret of infrom their relatives?,Does one who suffers from this disease keep it a secret or inform their relatives?,"[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'SVA'}, {'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Vt'}, {'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Trans'}, {'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Mec'}]",Do those who suffer from this disease keep it a secret from their relatives?
"In retrospect, its is also ones duty to ensure that he or she undergo periodic healthchecks in their own.","In retrospect, its is also one's duty to ensure that he or she undergo periodic healthchecks on their own.","[{'idx_src': [6], 'idx_tgt': [6, 7], 'corr_type': 'Npos'}, {'idx_src': [17], 'idx_tgt': [18], 'corr_type': 'Prep'}]","In retrospect, it is also one's duty to ensure that one undergoes periodic health checks regularly."
Sometimes some family structure and cultural beliefs can influence the pattern of communication.,Sometimes some family structures and cultural beliefs can influence the pattern of communication.,"[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Nn'}]",Sometimes some family structure and cultural beliefs can influence the pattern of communication.
"Depending on whom the genetic risk was discovered from: the son or daughter for example, the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed' to tell.","Depending on whom the genetic risk was discovered from: the son or daughter for example, the parentparent who knows about this would decide who gets told and whom takes the precedence in being 'allowed' to tell.","[{'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Nn'}]","Depending on from whom the genetic risk was discovered - the son or daughter, for example - the parents who know about this would decide who gets told and who takes precedence in being ""allowed"" to tell."
"For example, within a family, regardless of who had first received genetic information, parents were seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","For example, within a family, regardless of who first receives genetic information, parents are seen as having the primary responsibility to pass on information to any offspring at risk.","[{'idx_src': [10], 'idx_tgt': [], 'corr_type': 'Vt'}, {'idx_src': [12], 'idx_tgt': [11], 'corr_type': 'Vt'}, {'idx_src': [17], 'idx_tgt': [16], 'corr_type': 'Vt'}, {'idx_src': [31], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [32], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [33], 'idx_tgt': [], 'corr_type': 'Rloc-'}]","For example, within a family, regardless of who had first received genetic information, parents were seen as having the primary responsibility to pass on information to any offspring, whether at risk."
"In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information as they not want to know.","In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information as they might not want to know.","[{'idx_src': [], 'idx_tgt': [49], 'corr_type': 'Vm'}]","In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than doing so herself, although this may be further complicated by an individual's response to risk information, as they may not want to know."
"Hence, there were also tensions if participants felt that they could neither pass on information to relatives who needed to know (such as nieces and nephews) nor persuade those with authority (the parents) to do so.","Hence, there are also tensions if participants feel that they can neither pass on information to relatives who need to know (such as nieces and nephews) nor persuade those with authority (the parents) to do so.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Vt'}, {'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'Vt'}, {'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Vt'}, {'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Vt'}]","Hence, there were also tensions if participants felt that they could neither pass on information to relatives who needed to know, such as nieces and nephews, nor persuade those with authority, namely the parents, to do so."
The notion of authority also extended 'vertically'.,The notion of authority also extends 'vertically'.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Vt'}]",The notion of authority also extended 'vertically'.
"For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself while the aunt is.","For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself while the aunt is.",[],"For example, a grandmother may have more authority to pass on information than an aunt, even though she is not at genetic risk herself, whereas the aunt is."
"From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","From a practitioner's perspective, these findings are important because if lay constructs of the family and kinship are a social construct, they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","[{'idx_src': [], 'idx_tgt': [5], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [23], 'corr_type': 'Mec'}]","From a practitioner's perspective, these findings are important because if lay constructs of the family and kinship are a social construct, they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context."
"Ultimately, one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure.","Ultimately, one must bring attention to who may benefit from such information and assist those at risk to make considered decisions about disclosure.","[{'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Vform'}]","Ultimately, individuals who may benefit from such information and those at risk must be assisted to make informed decisions about disclosure."
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive' the risk is to them.,Whose duty it is to inform at risk relatives or not greatly depends on personal morality and the nature of how 'directive' the risk is to them.,"[{'idx_src': [14], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [15], 'corr_type': 'Wform'}]",Whose duty it is to inform at-risk relatives or not greatly depends on the individual's personal morals and the nature of how directive the risk is to them.
People with close blood relationship generally carry some similar genes.,People with close blood relationships generally carry some similar genes.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Nn'}]",People with a close blood relationship generally carry some similar genes.
"In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows.","In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others know about the risk so that his/her familay members are able to perform some daily exercises to prevent the potential disease or they may go to hospital and check for the corresponding flows.","[{'idx_src': [37], 'idx_tgt': [37], 'corr_type': 'Vform'}, {'idx_src': [52], 'idx_tgt': [52], 'corr_type': 'Wci'}, {'idx_src': [68], 'idx_tgt': [68], 'corr_type': 'Mec'}]","In this case, if one of the family members or close relatives is found to carry a genetic risk, it is better for the patient to inform his/her close relatives about the issue and let others know about the risk, so that his/her family members are able to take some daily precautions to prevent the potential disease or they may go to the hospital and get checked for corresponding symptoms."
"In my opinion, although the annouance of carrying a genetic risk involves the issue of self privacy, it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease.","In my opinion, although the burden of carrying genetic risk involves the issue of self privacy, it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Wci'}, {'idx_src': [9], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]","In my opinion, although the announcement of carrying a genetic risk involves the issue of self-privacy, it is necessary for the carrier to be obligated to inform his or her relatives so that they can take steps to prevent the potential disease."
I agree with this statement to a large extent.,I agree with this statement to a large extent.,[],I agree with this statement to a large extent.
Focus on the negative side of the annouance of genetic risk first.,I begin by focusing on the negative side of genetic risk first.,"[{'idx_src': [0], 'idx_tgt': [0, 1, 2, 3], 'corr_type': 'Sfrag'}, {'idx_src': [6], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [8], 'idx_tgt': [], 'corr_type': 'Prep'}]",Focus on the negative side of the announcement of genetic risk first.
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease.,Large numbers of patients with genetic risk would want to keep it as a secret as the genetic risk may indicate their high chance to carry certain diseases.,"[{'idx_src': [5], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [21], 'idx_tgt': [20], 'corr_type': 'Vform'}, {'idx_src': [28], 'idx_tgt': [27], 'corr_type': 'Nn'}]",Large numbers of patients with a genetic risk would want to keep it a secret because the genetic risk may indicate their high chance of carrying certain diseases.
"Especially for the young people without marrige, if he/she is known to have some genetic risk, it may have certain chance that his/her child would carry the same disease, but not in certain.","Especially for unmarried young people marrige who are known to have some genetic risk, there may be a certain chance that his/her child would carry the same disease, but this is not certain.","[{'idx_src': [2], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [2], 'corr_type': 'Wci'}, {'idx_src': [5], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Mec'}, {'idx_src': [8], 'idx_tgt': [6], 'corr_type': 'Trans'}, {'idx_src': [9], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [10], 'idx_tgt': [7], 'corr_type': 'SVA'}, {'idx_src': [18], 'idx_tgt': [15], 'corr_type': 'Pform'}, {'idx_src': [20], 'idx_tgt': [17], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [18], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [31], 'corr_type': 'Pref'}, {'idx_src': [], 'idx_tgt': [32], 'corr_type': 'SVA'}, {'idx_src': [34], 'idx_tgt': [], 'corr_type': 'Prep'}]","Especially for young people without marriage, if someone is known to have some genetic risk, it may have a certain chance that their child would carry the same disease, but not necessarily so."
"Therefore, to keep the information as secret to his/her future spouce would help the relationship.","Therefore, to keep the information as secret to his/her future spouse would help the relationship.","[{'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Mec'}]","Therefore, keeping the information secret from his or her future spouse would help the relationship."
"Secondly, annouance the potential risk would cause the family member to be scared of this certain issue, although the factor would not be that serious, people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease, and this creats unnecessary costs to the family.","Secondly, the potential risk would cause the family member to be scared of this issue . Although the factor might not be that serious, people would still fear that they would have some potential disease in the future; thus go to hospital and do additional checks or take more medicine in order to prevent the disease, and this creats unnecessary costs to the family.","[{'idx_src': [2], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [16], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [18], 'idx_tgt': [16], 'corr_type': 'Mec'}, {'idx_src': [19], 'idx_tgt': [17], 'corr_type': 'Mec'}, {'idx_src': [22], 'idx_tgt': [20], 'corr_type': 'Vm'}, {'idx_src': [], 'idx_tgt': [40], 'corr_type': 'Mec'}, {'idx_src': [49], 'idx_tgt': [48], 'corr_type': 'Nn'}]","Secondly, announcing the potential risk would cause the family member to be scared of this certain issue, although the factor would not be that serious, people would still fear that they would have some potential disease in the future, thus going to the hospital and doing additional checks or taking more medication to prevent the disease, which creates unnecessary costs for the family."
"Furthermore, the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease.","Furthermore, the fear of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Wci'}]","Furthermore, the announcement of genetic risk would affect the relationship with the relatives, as sometimes others may think not to stay too close to the carrier, so that they have less chance of getting the potential disease."
"On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extend and help to keep the privacy, but it has much larger negative impacts to the family members and relatives.","On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extent and help to keep privacy, it has much larger negative impacts on the family members and relatives.","[{'idx_src': [24], 'idx_tgt': [24], 'corr_type': 'Wci'}, {'idx_src': [29], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [32], 'idx_tgt': [], 'corr_type': 'Trans'}, {'idx_src': [39], 'idx_tgt': [37], 'corr_type': 'Prep'}]","On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extent and help to keep the privacy, it has much larger negative impacts on the family members and relatives."
"First, for the case of marrige, people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings.","First, for the case of marriage, a person should be honest and tell his/her spouse they may carry certain genetic risk that may affect their offspring.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [8], 'idx_tgt': [8, 9], 'corr_type': 'Nn'}, {'idx_src': [15], 'idx_tgt': [16], 'corr_type': 'Mec'}, {'idx_src': [26], 'idx_tgt': [27], 'corr_type': 'Nn'}]","First, in the case of marriage, people should be honest and tell their spouse that they may carry certain genetic risks that may affect their offspring."
It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found.,It is better to let the other party know the fact than after the baby is born and a certain type of genetic disease is found.,"[{'idx_src': [], 'idx_tgt': [18], 'corr_type': 'ArtOrDet'}]",It is better to let the other party know the fact than after the baby is born and a certain type of genetic disease is found.
It is better for both parties to be honest.,It is better for both parties to be honest.,[],It is better for both parties to be honest.
"Secondly, genetic disease has a close relationship with the born gene together with their daily habits.","Secondly, genetic disease has a close relationship with the birth gene together with their daily habits.","[{'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'Wform'}]","Secondly, genetic disease has a close relationship with the genes they inherit, as well as their daily habits."
"For example, if a carrier is told that he/she has the risk to have diabetes.","For example, if a carrier is told that he/she has the risk to have diabetes.",[],"For example, if a carrier is told that they have the risk of developing diabetes."
"In this case, the carrier can eat less candies and chocolates to prevent intake to much sugars, and at the same time, if the carrier tell this information to the relatives, it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease.","In this case, the carrier can eat less candies and chocolates to prevent intake of too much sugars, and at the same time, if the carrier tell this information to the relatives, it will be useful for them to know that they may have diabetes in the future because of related genes and they can perform the same exercise to intake less sugar to prevent the disease.","[{'idx_src': [], 'idx_tgt': [15], 'corr_type': 'Prep'}, {'idx_src': [15], 'idx_tgt': [16], 'corr_type': 'Wform'}, {'idx_src': [51], 'idx_tgt': [52], 'corr_type': 'Mec'}]","In this case, the carrier can eat fewer candies and chocolates to prevent consuming too much sugar, and at the same time, if the carrier tells this information to the relatives, it will be useful for them to know that they may have diabetes in the future because of related genes and they can perform the same exercise to consume less sugar to prevent the disease."
"Otherwise, if the other parties did not know, they may end up with to have diabete in the future without any prevention.","Otherwise, if the other parties did not know, they may end up with diabetes in the future without any prevention.","[{'idx_src': [15, 16], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [17], 'idx_tgt': [15], 'corr_type': 'Mec'}]","Otherwise, if the other parties do not know, they may end up with having diabetes in the future without any prevention."
"In conclusion, we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs.","In conclusion, we can see that the benefits of telling genetic risk to the carrier's relatives outweighs the costs.","[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Vt'}, {'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [6], 'corr_type': 'Ssub'}, {'idx_src': [14], 'idx_tgt': [15, 16], 'corr_type': 'Npos'}, {'idx_src': [16], 'idx_tgt': [18], 'corr_type': 'Wci'}]","In conclusion, we believe that the benefits of telling genetic risk to the carrier's relatives outweigh the costs."
"Therefore, it would be better for the carrier to be obligated to tell the information to the relatives, in order to let them know and prevent the potential disease through daily exercises.","Therefore, it would be better for the carrier to be obligated to tell the information to relatives, in order to let them know and prevent the potential disease through daily exercise.","[{'idx_src': [17], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [33], 'idx_tgt': [32], 'corr_type': 'Nn'}]","Therefore, it would be better for the carrier to be obligated to inform their relatives, so that they can take necessary precautions and prevent the potential disease through early detection and treatment."
"Among all kinds of different diseases, a large amount of different kinds of disorders are caused by genetic reasons.","Among all kinds of different diseases, a large amount of different kinds of disorders are caused by genetic reasons.",[],"Among all kinds of diseases, a large amount of disorders are caused by genetic reasons."
Genetic disorder may or may not be hirataged hereditary disease and it is sometimes hard to find out one has these kinds of diseases.,Genetic disorder may or may not be inherited a hereditary disease and it is sometimes hard to find out one has these kinds of diseases.,"[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [8], 'corr_type': 'ArtOrDet'}]","Genetic disorders may or may not be hereditary diseases, and it is sometimes hard to find out if one has these kinds of diseases."
It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene.,It is a long term discussion whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by genes.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Wci'}, {'idx_src': [6], 'idx_tgt': [], 'corr_type': 'Ssub'}, {'idx_src': [32], 'idx_tgt': [31], 'corr_type': 'Nn'}]",It has been a long-standing debate as to whether a carrier of a known genetic risk should be obligated to inform his or her relatives that their disease is caused by a gene.
"From the legal aspect, the answer is no but from the ethical aspect, the answer should be yes.","From the legal aspect, the answer is no but from the ethical aspect, the answer should be yes.",[],"From a legal perspective, the answer is no; however, from an ethical standpoint, the answer should be yes."
