source,target,annotation
And both are not what we want since most of us just want to live as normal people .,And both are not what we want since most of us just want to live as normal people .,NONE
"Surrounded by such concerns , it is very likely that we are distracted to worry about these problems .","Surrounded by such concerns , it is very likely that we are distracted and worry about these problems .",A 13 14|||Trans|||and|||REQUIRED|||-NONE-|||0
"It is a concern that will be with us during our whole life , because we will never know when the ''potential bomb' ' will explode .","It is a concern that will be with us during our whole life , because we never know when the ''potential bomb' ' will explode .",A 16 17|||Vt||||||REQUIRED|||-NONE-|||0
"On the other hand , if there are ways can help us to control or cure the disease , we can going through thses process from the scope of the whole family .","On the other hand , if there are ways that can help us to control or cure the disease , we go going these processes process from the scope of the whole family .",A 9 9|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||go|||REQUIRED|||-NONE-|||0; A 23 24|||Mec|||these|||REQUIRED|||-NONE-|||0; A 24 25|||Nn|||processes|||REQUIRED|||-NONE-|||0
"For an example , if exercising is helpful for family potential disease , we can always look for more chances for the family to go exercise .","For example , if exercising is helpful for reducing potential disease , we can always look for more chances for the family to go do .",A 1 2|||Rloc-||||||REQUIRED|||-NONE-|||0; A 8 9|||V0|||reducing|||REQUIRED|||-NONE-|||0; A 24 25|||Wci|||do|||REQUIRED|||-NONE-|||0
And we keep track of all family members health conditions .,so we keep track of all family members health conditions .,A 0 1|||Trans|||so|||REQUIRED|||-NONE-|||0
"At the same time , we are prepared to know when there are other members got this disease .","At the same time , we are prepared to know when there are other members who have got this disease .",A 15 15|||Ssub|||who have|||REQUIRED|||-NONE-|||0
Here I want to share Forest'view on this issue .,Here I want to share Forests'sview on this issue .,A 5 6|||Npos|||Forests'sview|||REQUIRED|||-NONE-|||0
"Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to his or her siblings , there currently is no legal requirement to do so .","Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to his or her siblings , there currently is no legal requirement to do so .",NONE
"In fact , requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious .","In fact , requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious .",NONE
"""","""",NONE
Nothing is absolute right or wrong .,Nothing is absolutely right or wrong .,A 2 3|||Wform|||absolutely|||REQUIRED|||-NONE-|||0
"If certain disease genetic test is very accurate and it is unavoidable and necessary to get treatment and known by others , it is OK to disclose the result .","If a disease genetic test is very accurate and it is unavoidable and necessary to get treatment and tell others , it is OK to disclose the result .",A 1 1|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 2 3|||Rloc-||||||REQUIRED|||-NONE-|||0; A 18 19|||Wci|||tell|||REQUIRED|||-NONE-|||0; A 19 20|||Prep||||||REQUIRED|||-NONE-|||0
"Above all , life is more important than secret .","Above all , life is more important than secrets .",A 8 9|||Nn|||secrets|||REQUIRED|||-NONE-|||0
Genetic risk does carry its consequences and should not be taken lightly within the family circle .,Genetic risk does carry consequences and should not be taken lightly within the family circle .,A 4 5|||Pref||||||REQUIRED|||-NONE-|||0
"Afterall , what affects one family may or may not affect another although the families has a common genetic make up , shared by either of the parents .","Afterall , what affects one family may or may not affect another even if the families have a common genetic make up , shared by either of the parents .",A 12 13|||Trans|||even if|||REQUIRED|||-NONE-|||0; A 15 16|||SVA|||have|||REQUIRED|||-NONE-|||0
"In cases where an individual has gotten to know of a genetic disorder , disclosing or otherwise , to his or her relative is solely a matter of preference within the indivdial moral system .","In cases where an individual has gotten to know of a genetic disorder , disclosing or otherwise to his or her relative is , solely a matter of preference within the individual moral system .","A 17 18|||Rloc-||||||REQUIRED|||-NONE-|||0; A 23 23|||Mec|||,|||REQUIRED|||-NONE-|||0; A 31 32|||Mec|||individual|||REQUIRED|||-NONE-|||0"
"The issue on right to know or not to know is highly debatable although it is a genetic risk , one can not be entire sure because the genetic information could possibly result from the families of either parents - his maternal and paternal uncles , aunts or cousin .","The issue on right to know or not to know is highly debatable Although although it is a genetic risk , one can not entirely entire sure because the genetic information could possibly result from the families of either parents their his maternal and paternal uncles , aunts cousins cousin .",A 13 13|||Mec|||.|||REQUIRED|||-NONE-|||0; A 13 14|||Mec|||Although|||REQUIRED|||-NONE-|||0; A 24 25|||Wform|||entirely|||REQUIRED|||-NONE-|||0; A 40 41|||Pref|||their|||REQUIRED|||-NONE-|||0; A 48 49|||Nn|||cousins|||REQUIRED|||-NONE-|||0
"This also means that as soon a person is made aware of his or her genetic profile , he or she concurently has a knowledge about others .","This also means that as soon as a person is made aware of his or her genetic profile , he or concurrently concurently a knowledge about others .",A 6 6|||Trans|||as|||REQUIRED|||-NONE-|||0; A 21 22|||Mec|||concurrently|||REQUIRED|||-NONE-|||0; A 23 24|||ArtOrDet||||||REQUIRED|||-NONE-|||0
"This knowledge maybe relavant to them , and vice versa .",This knowledge may be relevant to them and or not,A 2 3|||Vm|||may be|||REQUIRED|||-NONE-|||0; A 3 4|||Mec|||relevant|||REQUIRED|||-NONE-|||0; A 6 7|||Mec||||||REQUIRED|||-NONE-|||0; A 7 10|||Trans|||or not|||REQUIRED|||-NONE-|||0
An example that may serve as an illustration is breast cancer .,An example that may serve as an illustration is breast cancer .,NONE
It is hereditary .,It is hereditary .,NONE
Do one who suffered from this disease keep it a secret of infrom their relatives ?,Does one who suffers from this disease keep it a secret or inform their relatives ?,A 0 1|||SVA|||Does|||REQUIRED|||-NONE-|||0; A 3 4|||Vt|||suffers|||REQUIRED|||-NONE-|||0; A 11 12|||Trans|||or|||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||inform|||REQUIRED|||-NONE-|||0
"In retrospect , its is also ones duty to ensure that he or she undergo periodic healthchecks in their own .","In retrospect , its is also one 's duty to ensure that he or she undergo periodic healthchecks on their own .",A 6 7|||Npos|||one 's|||REQUIRED|||-NONE-|||0; A 17 18|||Prep|||on|||REQUIRED|||-NONE-|||0
Sometimes some family structure and cultural beliefs can influence the pattern of communication .,Sometimes some family structures and cultural beliefs can influence the pattern of communication .,A 3 4|||Nn|||structures|||REQUIRED|||-NONE-|||0
"Depending on whom the genetic risk was discovered from : the son or daughter for example , the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed ' to tell .","Depending on whom the genetic risk was discovered from : the son or daughter for example , the parentparent who knows about this would decide who gets told and whom takes the precedence in being 'allowed ' to tell .",A 18 19|||Nn|||parentparent|||REQUIRED|||-NONE-|||0
"For example , within a family , regardless of who had first received genetic information , parents were seen as having the primary responsibility to pass on information to any offspring , either adult at risk .","For example , within a family , regardless of who first received receives information , parents were are as having the primary responsibility to pass on information to any offspring , adult risk",A 10 11|||Vt||||||REQUIRED|||-NONE-|||0; A 12 13|||Vt|||receives|||REQUIRED|||-NONE-|||0; A 17 18|||Vt|||are|||REQUIRED|||-NONE-|||0; A 31 32|||Rloc-||||||REQUIRED|||-NONE-|||0; A 32 33|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 33 34|||Rloc-||||||REQUIRED|||-NONE-|||0
"In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself , although this may be further complicated by an individual 's response to risk information as they not want to know .","In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself , although this may be further complicated by an individual 's response to risk information as they might not want to know .",A 49 49|||Vm|||might|||REQUIRED|||-NONE-|||0
"Hence , there were also tensions if participants felt that they could neither pass on information to relatives who needed to know ( such as nieces and nephews ) nor persuade those with authority ( the parents ) to do so .","Hence , there are also tensions if participants feel that they can neither pass on information to relatives who need to know ( such as nieces and nephews ) nor persuade those with authority ( the parents ) to do so .",A 3 4|||Vt|||are|||REQUIRED|||-NONE-|||0; A 8 9|||Vt|||feel|||REQUIRED|||-NONE-|||0; A 11 12|||Vt|||can|||REQUIRED|||-NONE-|||0; A 19 20|||Vt|||need|||REQUIRED|||-NONE-|||0
The notion of authority also extended 'vertically' .,The notion of authority also extends 'vertically' .,A 5 6|||Vt|||extends|||REQUIRED|||-NONE-|||0
"For example , a grandmother may have more authority to pass on information than an aunt , even when she is not at genetic risk herself while the aunt is .","For example , a grandmother may have more authority to pass on information than an aunt , even when she is not at genetic risk herself while the aunt is .",NONE
"From a practitioner 's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context .","From a practitioner 's perspective , these findings are important because if lay constructs of the family and kinship are a social , construct they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context .","A 5 5|||Mec|||,|||REQUIRED|||-NONE-|||0; A 22 22|||Mec|||,|||REQUIRED|||-NONE-|||0"
"Ultimately , one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure .","Ultimately , one must bring attention to who may benefit from such information and assist those at risk to make considered decisions about disclosure .",A 14 15|||Vform|||assist|||REQUIRED|||-NONE-|||0
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive ' the risk is to them .,Whose duty it is to inform at risk relatives or not greatly depends on personal moral morality the nature of how 'directive ' the risk is to them .,A 14 15|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 16 17|||Wform|||morality|||REQUIRED|||-NONE-|||0
People with close blood relationship generally carry some similar genes .,People with close blood relationships generally carry some similar genes .,A 4 5|||Nn|||relationships|||REQUIRED|||-NONE-|||0
"In this case , if one of the family members or close relatives is found to carry genetic risk , it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows .","In this case , if one of the family members or close relatives is found to carry genetic risk , it is better for the patient to tell his/her close relatives about the issue and let others know about the risk so that his/her familay members are able to perform some daily exercises to prevent the potential disease or they may go to hospital and check for the corresponding flows .",A 37 38|||Vform|||know|||REQUIRED|||-NONE-|||0; A 52 53|||Wci|||exercises|||REQUIRED|||-NONE-|||0; A 68 69|||Mec|||corresponding|||REQUIRED|||-NONE-|||0
"In my opinion , although the annouance of carrying a genetic risk involves the issue of self privacy , it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease .","In my opinion , although the burden of carrying genetic risk involves the issue of self privacy , it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease .",A 6 7|||Wci|||burden|||REQUIRED|||-NONE-|||0; A 9 10|||ArtOrDet||||||REQUIRED|||-NONE-|||0
I agree with this statement to a large extent .,I agree with this statement to a large extent .,NONE
Focus on the negative side of the annouance of genetic risk first .,I begin by focusing on the negative side of annouance genetic first .,A 0 1|||Sfrag|||I begin by focusing|||REQUIRED|||-NONE-|||0; A 6 7|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 7 8|||Rloc-||||||REQUIRED|||-NONE-|||0; A 8 9|||Prep||||||REQUIRED|||-NONE-|||0
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease .,Large numbers of patients with genetic risk would want to keep it as a secret as the genetic risk may indicates indicate high chance to carry certain disease diseases,A 5 6|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||indicate|||REQUIRED|||-NONE-|||0; A 28 29|||Nn|||diseases|||REQUIRED|||-NONE-|||0
"Especially for the young people without marrige , if he/she is known to have some genetic risk , it may have certain chance that his/her child would carry the same disease , but not in certain .","Especially for young unmarried people marrige , he/she who to are some genetic risk , it may have there chance be a his/her child would carry the same disease , but not in is certain .",A 2 3|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 3 3|||Wci|||unmarried|||REQUIRED|||-NONE-|||0; A 5 6|||Prep||||||REQUIRED|||-NONE-|||0; A 7 8|||Mec||||||REQUIRED|||-NONE-|||0; A 8 9|||Trans|||who|||REQUIRED|||-NONE-|||0; A 9 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 10 11|||SVA|||are|||REQUIRED|||-NONE-|||0; A 18 19|||Pform|||there|||REQUIRED|||-NONE-|||0; A 20 21|||Wci|||be|||REQUIRED|||-NONE-|||0; A 21 21|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 33 33|||Pref|||this|||REQUIRED|||-NONE-|||0; A 33 33|||SVA|||is|||REQUIRED|||-NONE-|||0; A 34 35|||Prep||||||REQUIRED|||-NONE-|||0
"Therefore , to keep the information as secret to his/her future spouce would help the relationship .","Therefore , to keep the information as secret to his/her future spouse would help the relationship .",A 11 12|||Mec|||spouse|||REQUIRED|||-NONE-|||0
"Secondly , annouance the potential risk would cause the family member to be scared of this certain issue , although the factor would not be that serious , people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease , and this creats unnecessary costs to the family .","Secondly , the potential risk would cause the family member to be scared of this certain , although . Although would not might that serious , people would still fear that they would have some potential disease in the future thus go ; to hospital and do additional check checks take more medicine in order to prevent the disease , and this creats unnecessary costs to the family .",A 2 3|||Rloc-||||||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 18 19|||Mec|||.|||REQUIRED|||-NONE-|||0; A 19 20|||Mec|||Although|||REQUIRED|||-NONE-|||0; A 22 23|||Vm|||might|||REQUIRED|||-NONE-|||0; A 42 42|||Mec|||;|||REQUIRED|||-NONE-|||0; A 49 50|||Nn|||checks|||REQUIRED|||-NONE-|||0
"Furthermore , the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease .","Furthermore , the fear of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease .",A 3 4|||Wci|||fear|||REQUIRED|||-NONE-|||0
"On the other hand , if the genetic risk is kept as a secret , although it may benefit the carrier to a certain extend and help to keep the privacy , but it has much larger negative impacts to the family members and relatives .","On the other hand , if the genetic risk is kept as a secret , although it may benefit the carrier to a certain extent and help to keep privacy , but has much larger negative impacts to the on members and relatives .",A 24 25|||Wci|||extent|||REQUIRED|||-NONE-|||0; A 29 30|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 32 33|||Trans||||||REQUIRED|||-NONE-|||0; A 39 40|||Prep|||on|||REQUIRED|||-NONE-|||0
"First , for the case of marrige , people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings .","First , for the case of marriage , a person should be honest and tell his/her spouse they may carry certain genetic risk that may affect their offspring .",A 6 7|||Mec|||marriage|||REQUIRED|||-NONE-|||0; A 8 9|||Nn|||a person|||REQUIRED|||-NONE-|||0; A 15 16|||Mec|||spouse|||REQUIRED|||-NONE-|||0; A 26 27|||Nn|||offspring|||REQUIRED|||-NONE-|||0
It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found .,It is better to let the other party know the fact than after the baby is born and a certain type of genetic disease is found .,A 18 18|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
It is better for both parties to be honest .,It is better for both parties to be honest .,NONE
"Secondly , genetic disease has a close relationship with the born gene together with their daily habits .","Secondly , genetic disease has a close relationship with the birth gene together with their daily habits .",A 10 11|||Wform|||birth|||REQUIRED|||-NONE-|||0
"For example , if a carrier is told that he/she has the risk to have diabetes .","For example , if a carrier is told that he/she has the risk to have diabetes .",NONE
"In this case , the carrier can eat less candies and chocolates to prevent intake to much sugars , and at the same time , if the carrier tell this information to the relatives , it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease .","In this case , the carrier can eat less candies and chocolates to prevent intake too to much sugars , and at the same time , if the carrier tell this information to the relatives , it will be useful for them to know that they may have diabetes in the because becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease .",A 15 15|||Prep|||of|||REQUIRED|||-NONE-|||0; A 15 16|||Wform|||too|||REQUIRED|||-NONE-|||0; A 51 52|||Mec|||because|||REQUIRED|||-NONE-|||0
"Otherwise , if the other parties did not know , they may end up with to have diabete in the future without any prevention .","Otherwise , if the other parties did not know , they may end up with diabete in diabetes future without any prevention .",A 15 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 17 18|||Mec|||diabetes|||REQUIRED|||-NONE-|||0
"In conclusion , we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs .","In conclusion , we can see that the benefits of telling genetic risk to carrier 's carriers outweighs overweights the costs .",A 4 5|||Vt|||can|||REQUIRED|||-NONE-|||0; A 5 6|||Wci|||see|||REQUIRED|||-NONE-|||0; A 6 6|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 14 15|||Npos|||carrier 's|||REQUIRED|||-NONE-|||0; A 16 17|||Wci|||outweighs|||REQUIRED|||-NONE-|||0
"Therefore , it would be better for the carrier to be obligated to tell the information to the relatives , in order to let them know and prevent the potential disease through daily exercises .","Therefore , it would be better for the carrier to be obligated to tell the information to relatives , in order to let them know and prevent the potential disease through daily exercises exercise",A 17 18|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 33 34|||Nn|||exercise|||REQUIRED|||-NONE-|||0
"Among all kinds of different diseases , a large amount of different kinds of disorders are caused by genetic reasons .","Among all kinds of different diseases , a large amount of different kinds of disorders are caused by genetic reasons .",NONE
Genetic disorder may or may not be hirataged hereditary disease and it is sometimes hard to find out one has these kinds of diseases .,Genetic disorder may or may not be inherited a hereditary disease and it is sometimes hard to find out one has these kinds of diseases .,A 7 8|||Wci|||inherited|||REQUIRED|||-NONE-|||0; A 8 8|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene .,It is a long term discussion whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene genes,A 4 5|||Wci|||term|||REQUIRED|||-NONE-|||0; A 6 7|||Ssub||||||REQUIRED|||-NONE-|||0; A 32 33|||Nn|||genes|||REQUIRED|||-NONE-|||0
"From the legal aspect , the answer is no but from the ethical aspect , the answer should be yes .","From the legal aspect , the answer is no but from the ethical aspect , the answer should be yes .",NONE
We ca n't make a law to push a carrier of a known genetic risk to tell his or her relatives about his genetic problem .,We can not make a law to push a carrier of a known genetic risk to tell his or her relatives about his genetic problem .,A 1 3|||Wtone|||can not|||REQUIRED|||-NONE-|||0
It is immoral and impractical .,It is immoral and impractical .,NONE
"Firstly , someone having what kinds of disease belongs to his or her privacy .","Firstly , someone having any kind of disease belongs to his or her privacy .",A 4 5|||ArtOrDet|||any|||REQUIRED|||-NONE-|||0; A 5 6|||Nn|||kind|||REQUIRED|||-NONE-|||0
Privicy protection belongs to one 's human rights .,Privicy protection belongs to one 's human rights .,NONE
If a law requires someone to tell others ' his or her privacy especially when the one is not willing to do so .,If a law requires someone to tell others his or her privacy especially when the is not willing to do so .,A 8 9|||Npos||||||REQUIRED|||-NONE-|||0; A 15 16|||ArtOrDet||||||REQUIRED|||-NONE-|||0
It is againt his or her human rights and it is against the law 's spirit .,it is against his or her human rights and it is against the law 's spirit .,A 0 3|||Ssub|||it is against|||REQUIRED|||-NONE-|||0
The law 's spirit also include the fairness .,The law 's spirit also includes fairness .,A 5 6|||SVA|||includes|||REQUIRED|||-NONE-|||0; A 6 7|||ArtOrDet||||||REQUIRED|||-NONE-|||0
What is the basic difference between genetic disorder and other disorders .,What is the basic difference between genetic disorder and other disorders ?,A 11 12|||Mec|||?|||REQUIRED|||-NONE-|||0
It is unfair to release a law only point to the genetic disorder .,It is unfair to release a law which points point the genetic disorder .,A 7 7|||Ssub|||which|||REQUIRED|||-NONE-|||0; A 8 9|||SVA|||points|||REQUIRED|||-NONE-|||0; A 10 11|||ArtOrDet||||||REQUIRED|||-NONE-|||0
"In addition , it is impractical to make such a law .","In addition , it is impractical to make such a law .",NONE
A good law should be clear and easy to execute .,A good law should be clear and easy to execute .,NONE
"However , there are many problems againt the execution of asking a carrier to tell his or her ralatives the cause of his or her diseases .","However , there are many problems againt the execution of asking a carrier to tell his or her relatives the cause of his or her diseases .",A 18 19|||Mec|||relatives|||REQUIRED|||-NONE-|||0
"Firstly , what is the range of the relatives ?","Firstly , what is the range of the relatives ?",NONE
"For example , does the carrier only need to tell his or her direct relatives like parents and brothers and sisters or does he also need to tell relatives like his grandmother 's sister 's son 's daughter 's nephew ?","For example , does the carrier only need to tell his or her direct relatives like parents and brothers and sisters or does he also need to tell relatives like his grandmothers sister sisters 's sons nephew daughters and",A 31 33|||Npos|||grandmothers|||REQUIRED|||-NONE-|||0; A 33 35|||Npos|||sisters|||REQUIRED|||-NONE-|||0; A 35 37|||Npos|||sons|||REQUIRED|||-NONE-|||0; A 37 39|||Npos|||daughters|||REQUIRED|||-NONE-|||0; A 39 40|||Trans|||and|||REQUIRED|||-NONE-|||0
"If you say only need to tell direct relatives , it will be against the fairness of law .","If you say he needs to tell direct relatives , it will be against the fairness of the law .",A 3 4|||Pref|||he|||REQUIRED|||-NONE-|||0; A 4 5|||SVA|||needs|||REQUIRED|||-NONE-|||0; A 17 17|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
Other relatives may have the same possibilities to have such kind of disease .,Other relatives may have the same possibilities of developing such a .,A 7 9|||Wci|||of developing|||REQUIRED|||-NONE-|||0; A 9 12|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
How can a law made by government exempt such a group of people from preparing to face their potetial disease ?,How can a law made by government exempt such a group of people from preparing to face their potential disease ?,A 18 19|||Mec|||potential|||REQUIRED|||-NONE-|||0
"However , from the ethical point of view .","However , from the ethical point of view ,","A 8 9|||Mec|||,|||REQUIRED|||-NONE-|||0"
"To the carrier himself of herself , he of she should have a feeling of resposiblity to tell his or her relatives their genetic disorder .","too the carrier himself of herself , he or she should have a feeling of responsibility to tell his or her relatives their genetic disorder .",A 0 1|||Mec|||too|||REQUIRED|||-NONE-|||0; A 8 9|||Prep|||or|||REQUIRED|||-NONE-|||0; A 15 16|||Mec|||responsibility|||REQUIRED|||-NONE-|||0
"By doing this ,they may be able to save some lives of their relatives .","By doing this ,they may be able to save some lives of their relatives .",NONE
"It is because a carrier with bad gene may not necessary have those genetic disease , if they can have coresponding healthy lifestyle before the age that the gene 's function become stronger .","It is because a carrier with bad genes may not necessary have those genetic diseases , if they can have a corresponding healthy lifestyle before the age that the gene 's function becomes stronger .",A 7 8|||Nn|||genes|||REQUIRED|||-NONE-|||0; A 14 15|||Nn|||diseases|||REQUIRED|||-NONE-|||0; A 20 21|||ArtOrDet|||a corresponding|||REQUIRED|||-NONE-|||0; A 31 32|||SVA|||becomes|||REQUIRED|||-NONE-|||0
A typical example is genetic caused hypertension .,A typical example is genetically caused by hypertension .,A 4 5|||Wform|||genetically|||REQUIRED|||-NONE-|||0; A 6 6|||Prep|||by|||REQUIRED|||-NONE-|||0
Hypertension can be caused by genetic problems which make the carrier harder to digest the fat and salt in blood which can cause hypertension .,Hypertension can be caused by genetic problems which make the harder to digest the fat and salt in blood which,A 9 9|||Pref|||it|||REQUIRED|||-NONE-|||0; A 9 10|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 10 11|||Rloc-||||||REQUIRED|||-NONE-|||0; A 20 24|||Ssub||||||REQUIRED|||-NONE-|||0
People usually get this kind of hypertesion after they become adult .,People usually get this kind of hypertesion when they become adult .,A 7 8|||Trans|||when|||REQUIRED|||-NONE-|||0
"However , if they already know they have a gene that may make them have higher possibilities to get hypertention .","However , if they already know they have a gene that may make them have higher possibilities to get hypertention ,","A 20 21|||Mec|||,|||REQUIRED|||-NONE-|||0"
They can build a daily habit to eat less salt and fat and thus to avoid hypertension .,they can build a daily habit to eat less salt and fat and thus to avoid hypertension .,A 0 1|||Mec|||they|||REQUIRED|||-NONE-|||0
"In a nutshell , our society ca n't push genetic problem carrier to tell his or her disease to his or her relatives but he or she should be willing to tell his or her relatives about his or her genetic problem .","In a nutshell , our society can not push genetic a problem carrier to tell about his or her disease to his or her relatives but he or she should be willing to tell his or her relatives about his or her genetic problem .",A 6 8|||Wtone|||can not|||REQUIRED|||-NONE-|||0; A 9 9|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 14 14|||Wci|||about|||REQUIRED|||-NONE-|||0
"By doing so , less of his or her beloved ones will suffer from the genetic problem .","By doing so , less of his or her beloved ones will suffer from the genetic problem .",NONE
"In the age of rapid technological advancement , a lot of medical breakthroughs are made possible .","In the age of rapid technological advancement , a lot of medical breakthroughs are made possible .",NONE
Genetic testing is made possible and available for one 's decision to undergo .,Genetic testing is made possible and available .,A 7 13|||Um||||||REQUIRED|||-NONE-|||0
It is able to detect the illnesses or diseases and even a child 's parentage .,It is able to detect illnesses or diseases and even a child 's parentage .,A 5 6|||ArtOrDet||||||REQUIRED|||-NONE-|||0
"However , it will become a controversial issue as it becomes a dilemma for a carrier of a known genetic risk to inform his or her relatives .","However , it might become a controversial issue or a dilemma for a carrier of a known genetic risk to inform his or her relatives .",A 3 4|||Vm|||might|||REQUIRED|||-NONE-|||0; A 8 11|||Trans|||or|||REQUIRED|||-NONE-|||0
