source,target,annotation
"On one hand , we do not want this potential danger causing firghtenning affects in our families ' later lives .","On the one hand , we do not want this potential danger frightening effects affects in our families ' later lives .",A 1 1|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||frightening|||REQUIRED|||-NONE-|||0; A 13 14|||Mec|||effects|||REQUIRED|||-NONE-|||0
"When people around us know that we got certain disease , their altitudes will be easily changed , whether caring us too much or keeping away from us .","When people around us know that we have a disease , their attitudes can be easily changed , whether by for caring us too much or keeping away from us .",A 7 8|||Wci|||have|||REQUIRED|||-NONE-|||0; A 8 9|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||attitudes|||REQUIRED|||-NONE-|||0; A 13 14|||Vm|||can|||REQUIRED|||-NONE-|||0; A 19 19|||Prep|||by|||REQUIRED|||-NONE-|||0; A 20 20|||Prep|||for|||REQUIRED|||-NONE-|||0
And both are not what we want since most of us just want to live as normal people .,And both are not what we want because most of us just want to live as normal people .,A 7 8|||Trans|||because|||REQUIRED|||-NONE-|||0
"Surrounded by such concerns , it is very likely that we are distracted to worry about these problems .","Surrounded by such concerns , it is very likely that we are too distracted to worry about these problems .",A 12 12|||Others|||too|||REQUIRED|||-NONE-|||0
"It is a concern that will be with us during our whole life , because we will never know when the ''potential bomb' ' will explode .","It is a concern that will be with us during our whole lives , because we will never know when the ''potential bomb' ' will explode .",A 12 13|||Nn|||lives|||REQUIRED|||-NONE-|||0
"On the other hand , if there are ways can help us to control or cure the disease , we can going through thses process from the scope of the whole family .","On the other hand , if there are ways that can help us to control or cure the disease , we go going these processes with from help scope of the whole family .",A 9 9|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||go|||REQUIRED|||-NONE-|||0; A 23 24|||Mec|||these|||REQUIRED|||-NONE-|||0; A 24 25|||Nn|||processes|||REQUIRED|||-NONE-|||0; A 25 26|||Prep|||with|||REQUIRED|||-NONE-|||0; A 27 28|||Wci|||help|||REQUIRED|||-NONE-|||0
"For an example , if exercising is helpful for family potential disease , we can always look for more chances for the family to go exercise .","For example , if exercising is helps family disease a lower the risk of , we can always for more chances for the family to go exercise",A 1 2|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 6 8|||Wform|||helps|||REQUIRED|||-NONE-|||0; A 8 9|||Prep||||||REQUIRED|||-NONE-|||0; A 9 9|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 10 10|||Others|||lower the risk of|||REQUIRED|||-NONE-|||0; A 15 16|||Rloc-||||||REQUIRED|||-NONE-|||0; A 24 25|||Rloc-||||||REQUIRED|||-NONE-|||0
And we keep track of all family members health conditions .,"Furthermore , we can keep track of all family ' members health conditions .","A 0 1|||Trans|||Furthermore ,|||REQUIRED|||-NONE-|||0; A 2 2|||Vm|||can|||REQUIRED|||-NONE-|||0; A 8 8|||Npos|||'|||REQUIRED|||-NONE-|||0"
"At the same time , we are prepared to know when there are other members got this disease .",This also means we are prepared to know when there other members got . get,A 0 5|||Wci|||This also means|||REQUIRED|||-NONE-|||0; A 8 8|||Prep|||for|||REQUIRED|||-NONE-|||0; A 8 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 11 13|||Rloc-||||||REQUIRED|||-NONE-|||0; A 15 16|||Vt|||get|||REQUIRED|||-NONE-|||0
Here I want to share Forest'view on this issue .,"Here I want to share Forest 's view on this issue have been documented . He writes : ""","A 5 6|||Mec|||Forest 's view|||REQUIRED|||-NONE-|||0; A 9 10|||Vt|||have been documented . He writes : ""|||REQUIRED|||-NONE-|||0"
"Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to his or her siblings , there currently is no legal requirement to do so .","Although some people feel that an individual who is found to carry a dominant gene for Huntington 's disease has an ethical obligation to disclose that fact to his or her siblings , there currently is no legal requirement to do so .",NONE
"In fact , requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious .","In fact , requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious .",NONE
"""","""",NONE
Nothing is absolute right or wrong .,Nothing is absolutely right or wrong .,A 2 3|||Wform|||absolutely|||REQUIRED|||-NONE-|||0
"If certain disease genetic test is very accurate and it is unavoidable and necessary to get treatment and known by others , it is OK to disclose the result .","If a certain 's disease genetic test is , very accurate and it is unavoidable and necessary to be get treatment and known by others , it is OK to disclose the result .","A 1 1|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 3 3|||Npos|||'s|||REQUIRED|||-NONE-|||0; A 8 8|||Mec|||,|||REQUIRED|||-NONE-|||0; A 18 18|||Vform|||be|||REQUIRED|||-NONE-|||0"
"Above all , life is more important than secret .","Above all , life is more important than a keeping secret .",A 8 8|||V0|||keeping|||REQUIRED|||-NONE-|||0; A 8 8|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
Genetic risk does carry its consequences and should not be taken lightly within the family circle .,Genetic risk does carry its consequences and should not be taken lightly within the family circle .,NONE
"Afterall , what affects one family may or may not affect another although the families has a common genetic make up , shared by either of the parents .","After all , what affects one family member not affect another although the because has a have genetic make up , shared by either with the parents .","A 0 1|||Mec|||After all|||REQUIRED|||-NONE-|||0; A 6 6|||Others|||member|||REQUIRED|||-NONE-|||0; A 7 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 12 12|||Mec|||,|||REQUIRED|||-NONE-|||0; A 12 13|||Trans|||because|||REQUIRED|||-NONE-|||0; A 13 14|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 15 16|||SVA|||have|||REQUIRED|||-NONE-|||0; A 23 24|||Prep|||with|||REQUIRED|||-NONE-|||0"
"In cases where an individual has gotten to know of a genetic disorder , disclosing or otherwise , to his or her relative is solely a matter of preference within the indivdial moral system .","In cases where an individual has come to know of a genetic disorder , disclosing to his or her relative is solely a matter of preference within the indivdial moral system .",A 6 7|||Wci|||come|||REQUIRED|||-NONE-|||0; A 15 18|||Rloc-||||||REQUIRED|||-NONE-|||0
"The issue on right to know or not to know is highly debatable although it is a genetic risk , one can not be entire sure because the genetic information could possibly result from the families of either parents - his maternal and paternal uncles , aunts or cousin .","The issue of right to know is highly debatable although it is a ; genetic risk , one can not be entire sure because entirely genetic information could possibly result from families of either parents - his maternal parent — one 's , aunts or cousin . and cousins",A 2 3|||Prep|||of|||REQUIRED|||-NONE-|||0; A 6 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 13 13|||Srun|||;|||REQUIRED|||-NONE-|||0; A 24 25|||Wform|||entirely|||REQUIRED|||-NONE-|||0; A 31 32|||Rloc-||||||REQUIRED|||-NONE-|||0; A 38 39|||Nn|||parent|||REQUIRED|||-NONE-|||0; A 39 40|||Mec|||—|||REQUIRED|||-NONE-|||0; A 40 41|||Wci|||one 's|||REQUIRED|||-NONE-|||0; A 47 48|||Trans|||and|||REQUIRED|||-NONE-|||0; A 48 49|||Nn|||cousins|||REQUIRED|||-NONE-|||0
"This also means that as soon a person is made aware of his or her genetic profile , he or she concurently has a knowledge about others .","This also means that as soon a person is made aware of his or her genetic profile , he or she has a knowledge about others . '",A 21 22|||Rloc-||||||REQUIRED|||-NONE-|||0; A 27 27|||Npos|||'|||REQUIRED|||-NONE-|||0
"This knowledge maybe relavant to them , and vice versa .",This knowledge may be relevant to them .,A 2 3|||Mec|||may be|||REQUIRED|||-NONE-|||0; A 3 4|||Mec|||relevant|||REQUIRED|||-NONE-|||0; A 6 10|||Rloc-||||||REQUIRED|||-NONE-|||0
An example that may serve as an illustration is breast cancer .,An example that may serve as an illustration is breast cancer .,NONE
It is hereditary .,The risk of developing it is hereditary .,A 0 1|||Others|||The risk of developing it|||REQUIRED|||-NONE-|||0
Do one who suffered from this disease keep it a secret of infrom their relatives ?,Should one who suffers from this disease keep it a secret infrom from relatives ?,A 0 1|||Vm|||Should|||REQUIRED|||-NONE-|||0; A 3 4|||Vt|||suffers|||REQUIRED|||-NONE-|||0; A 11 12|||Prep||||||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||from|||REQUIRED|||-NONE-|||0
"In retrospect , its is also ones duty to ensure that he or she undergo periodic healthchecks in their own .","In retrospect , it is also one 's own duty their she undergo periodic healthchecks in their health checks",A 3 4|||Mec|||it|||REQUIRED|||-NONE-|||0; A 6 7|||Npos|||one 's|||REQUIRED|||-NONE-|||0; A 7 7|||WOadv|||own|||REQUIRED|||-NONE-|||0; A 9 14|||Pref|||their|||REQUIRED|||-NONE-|||0; A 16 17|||Mec|||health checks|||REQUIRED|||-NONE-|||0; A 17 20|||WOadv||||||REQUIRED|||-NONE-|||0
Sometimes some family structure and cultural beliefs can influence the pattern of communication .,Sometimes family structure and cultural beliefs can influence the pattern of communication .,A 1 2|||Rloc-||||||REQUIRED|||-NONE-|||0
"Depending on whom the genetic risk was discovered from : the son or daughter for example , the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed ' to tell .","Depending on from whom the genetic risk was from — the son or daughter , for — , parent parents who knows about this would decide who gets told who whom takes the precedence in being 'allowed ' to tell .","A 2 2|||WOadv|||from|||REQUIRED|||-NONE-|||0; A 8 9|||WOadv||||||REQUIRED|||-NONE-|||0; A 9 10|||Mec|||—|||REQUIRED|||-NONE-|||0; A 14 14|||Mec|||,|||REQUIRED|||-NONE-|||0; A 16 17|||Mec|||—|||REQUIRED|||-NONE-|||0; A 18 19|||Nn|||parent|||REQUIRED|||-NONE-|||0; A 29 30|||Pform|||who|||REQUIRED|||-NONE-|||0"
"For example , within a family , regardless of who had first received genetic information , parents were seen as having the primary responsibility to pass on information to any offspring , either adult at risk .","For example , within a family , regardless of who first received genetic the information , parents are seen as having the primary responsibility to pass on information to any offspring .",A 10 11|||Vform||||||REQUIRED|||-NONE-|||0; A 13 13|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 17 18|||Vt|||are|||REQUIRED|||-NONE-|||0; A 31 36|||Um||||||REQUIRED|||-NONE-|||0
"In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself , although this may be further complicated by an individual 's response to risk information as they not want to know .","In addition , a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than to do it herself , although this may be further complicated by an individual 's response to risk information as might they not want to know .",A 29 29|||Prep|||to|||REQUIRED|||-NONE-|||0; A 49 49|||Vm|||might|||REQUIRED|||-NONE-|||0
"Hence , there were also tensions if participants felt that they could neither pass on information to relatives who needed to know ( such as nieces and nephews ) nor persuade those with authority ( the parents ) to do so .","Hence , there are also tensions if participants feel that they can neither pass on information to relatives who need to know ( such as nieces and nephews ) , nor persuade those the with authority ( the parents ) to do so .","A 3 4|||Vt|||are|||REQUIRED|||-NONE-|||0; A 8 9|||Vt|||feel|||REQUIRED|||-NONE-|||0; A 11 12|||Vt|||can|||REQUIRED|||-NONE-|||0; A 19 20|||Vt|||need|||REQUIRED|||-NONE-|||0; A 29 29|||Mec|||,|||REQUIRED|||-NONE-|||0; A 33 33|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0"
The notion of authority also extended 'vertically' .,The notion of authority also extends 'vertically' .,A 5 6|||Vt|||extends|||REQUIRED|||-NONE-|||0
"For example , a grandmother may have more authority to pass on information than an aunt , even when she is not at genetic risk herself while the aunt is .","For example , a grandmother may have more authority to pass on information than an aunt , even if she is not at risk herself while , the aunt is .","A 18 19|||Wci|||if|||REQUIRED|||-NONE-|||0; A 23 24|||Rloc-||||||REQUIRED|||-NONE-|||0; A 26 26|||Mec|||,|||REQUIRED|||-NONE-|||0"
"From a practitioner 's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context .","From a practitioner 's perspective , these findings are important because lay constructs of the family and kinship are a social construct , they may not be in line with geneticists ' about of family relationships , or about which blood ( or non-blood ) relatives should be informed and by . This this is also likely to be dependent on the cultural and ethnic context .","A 5 5|||Mec|||,|||REQUIRED|||-NONE-|||0; A 11 12|||Rloc-||||||REQUIRED|||-NONE-|||0; A 22 22|||Mec|||,|||REQUIRED|||-NONE-|||0; A 32 33|||Prep|||about|||REQUIRED|||-NONE-|||0; A 51 53|||Sfrag|||. This|||REQUIRED|||-NONE-|||0"
"Ultimately , one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure .","Ultimately , one must bring attention to who may benefit from such information , assist assisting those at risk to make considered decisions about disclosure .","A 13 13|||Mec|||,|||REQUIRED|||-NONE-|||0; A 14 15|||Vform|||assist|||REQUIRED|||-NONE-|||0"
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive ' the risk is to them .,Whose duty it is to inform at-risk relatives or ( or not ) depends on the personal and the morals of how 'directive ' the 'direct is to them .,A 6 8|||Mec|||at-risk|||REQUIRED|||-NONE-|||0; A 9 11|||Mec|||( or not )|||REQUIRED|||-NONE-|||0; A 14 15|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 16 17|||Nn|||morals|||REQUIRED|||-NONE-|||0; A 22 23|||Mec|||'direct|||REQUIRED|||-NONE-|||0
People with close blood relationship generally carry some similar genes .,People with close blood relationships generally carry similar genes .,A 4 5|||Nn|||relationships|||REQUIRED|||-NONE-|||0; A 7 8|||Rloc-||||||REQUIRED|||-NONE-|||0
"In this case , if one of the family members or close relatives is found to carry genetic risk , it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows .","In the case if that a members or close member is found relative carry genetic risk , a it is better for the patient to tell his/her close relatives about the issue and let others known about know risk so that his/her familay members family able to perform some daily excesses to exercises the potential disease or they , to hospital and check for to correspongding flows . corresponding genes","A 1 2|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 3 4|||Mec||||||REQUIRED|||-NONE-|||0; A 4 5|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 5 8|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 9 10|||Nn|||member|||REQUIRED|||-NONE-|||0; A 12 13|||Nn|||relative|||REQUIRED|||-NONE-|||0; A 17 17|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 37 38|||Vt|||know|||REQUIRED|||-NONE-|||0; A 44 45|||Mec|||family|||REQUIRED|||-NONE-|||0; A 52 53|||Mec|||exercises|||REQUIRED|||-NONE-|||0; A 58 58|||Mec|||,|||REQUIRED|||-NONE-|||0; A 59 61|||Rloc-||||||REQUIRED|||-NONE-|||0; A 64 65|||Prep|||to|||REQUIRED|||-NONE-|||0; A 68 69|||Mec|||corresponding|||REQUIRED|||-NONE-|||0; A 69 70|||Wci|||genes|||REQUIRED|||-NONE-|||0"
"In my opinion , although the annouance of carrying a genetic risk involves the issue of self privacy , it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease .","In my opinion , although the announcement of carrying a genetic risk involves the issue of privacy , it is necessary for the carrier to be obligated to tell the or her relatives his/her them to prevent the potential disease . try to",A 6 7|||Mec|||announcement|||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 30 33|||Rloc-||||||REQUIRED|||-NONE-|||0; A 33 36|||Mec|||his/her|||REQUIRED|||-NONE-|||0; A 42 42|||Wci|||try to|||REQUIRED|||-NONE-|||0
I agree with this statement to a large extent .,I agree with this statement to a large extent .,NONE
Focus on the negative side of the annouance of genetic risk first .,Focus on the negative side of the announcement of genetic risk first .,A 7 8|||Mec|||announcement|||REQUIRED|||-NONE-|||0
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease .,Large numbers of patients with the genetic risk would want to keep it a secret as the genetic risk may indicates indicate high chance to of carrying a disease .,A 13 14|||Rloc-||||||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||indicate|||REQUIRED|||-NONE-|||0; A 25 26|||Prep|||of|||REQUIRED|||-NONE-|||0; A 26 27|||Vform|||carrying|||REQUIRED|||-NONE-|||0; A 27 27|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
"Especially for the young people without marrige , if he/she is known to have some genetic risk , it may have certain chance that his/her child would carry the same disease , but not in certain .","Especially for a young person marrige , if he/she is known to have some genetic risk , it may have increase that the his/her child children will the same disease , but not in for .",A 2 3|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 4 4|||WOinc|||unmarried|||REQUIRED|||-NONE-|||0; A 4 5|||Nn|||person|||REQUIRED|||-NONE-|||0; A 5 7|||WOinc||||||REQUIRED|||-NONE-|||0; A 20 22|||Wci|||increase|||REQUIRED|||-NONE-|||0; A 22 22|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 25 26|||Nn|||children|||REQUIRED|||-NONE-|||0; A 26 27|||Vm|||will|||REQUIRED|||-NONE-|||0; A 34 35|||Prep|||for|||REQUIRED|||-NONE-|||0
"Therefore , to keep the information as secret to his/her future spouce would help the relationship .","Therefore , to keep the information as secret to his/her future spouse would help the relationship .",A 11 12|||Mec|||spouse|||REQUIRED|||-NONE-|||0
"Secondly , annouance the potential risk would cause the family member to be scared of this certain issue , although the factor would not be that serious , people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease , and this creats unnecessary costs to the family .","Secondly , the announcement of the potential may would cause the family member become be scared the certain issue ; although this factor would not be very serious , people would still fear that they will develop some potential disease in the future . They may go to hospital to do additional checks , or take more medicine in order to prevent the disease ; this creats unnecessary costs to for family .","A 2 3|||ArtOrDet|||the announcement|||REQUIRED|||-NONE-|||0; A 3 3|||Prep|||of|||REQUIRED|||-NONE-|||0; A 6 7|||Vm|||may|||REQUIRED|||-NONE-|||0; A 12 13|||Wci|||become|||REQUIRED|||-NONE-|||0; A 15 16|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 18 19|||Srun|||;|||REQUIRED|||-NONE-|||0; A 20 21|||ArtOrDet|||this|||REQUIRED|||-NONE-|||0; A 25 26|||Wci|||very|||REQUIRED|||-NONE-|||0; A 34 35|||Vm|||will|||REQUIRED|||-NONE-|||0; A 35 36|||Wci|||develop|||REQUIRED|||-NONE-|||0; A 42 43|||Srun|||. They may|||REQUIRED|||-NONE-|||0; A 46 47|||Prep|||to|||REQUIRED|||-NONE-|||0; A 49 50|||Nn|||checks ,|||REQUIRED|||-NONE-|||0; A 60 61|||Srun|||;|||REQUIRED|||-NONE-|||0; A 61 62|||Rloc-||||||REQUIRED|||-NONE-|||0; A 66 67|||Prep|||for|||REQUIRED|||-NONE-|||0"
"Furthermore , the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease .","Furthermore , the announcement of genetic risk may affect the relationship with relatives as , sometimes others may think to not stay too close to the carrier so that have less chance to get of getting disease","A 3 4|||Mec|||announcement|||REQUIRED|||-NONE-|||0; A 7 8|||Vm|||may|||REQUIRED|||-NONE-|||0; A 12 13|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 14 14|||Mec|||,|||REQUIRED|||-NONE-|||0; A 19 21|||WOinc|||to not|||REQUIRED|||-NONE-|||0; A 28 29|||Rloc-||||||REQUIRED|||-NONE-|||0; A 33 34|||Prep|||of|||REQUIRED|||-NONE-|||0; A 34 35|||Vform|||getting|||REQUIRED|||-NONE-|||0; A 36 37|||Rloc-||||||REQUIRED|||-NONE-|||0"
"On the other hand , if the genetic risk is kept as a secret , although it may benefit the carrier to a certain extend and help to keep the privacy , but it has much larger negative impacts to the family members and relatives .","On the other hand , if the genetic risk is kept secret , although it may benefit the carrier to a certain extend and extent to keep the maintain but it has larger negative impacts to the family members on .",A 11 13|||Rloc-||||||REQUIRED|||-NONE-|||0; A 24 25|||Mec|||extent|||REQUIRED|||-NONE-|||0; A 28 29|||Wci|||maintain|||REQUIRED|||-NONE-|||0; A 29 30|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 32 33|||Trans||||||REQUIRED|||-NONE-|||0; A 39 40|||Prep|||on|||REQUIRED|||-NONE-|||0; A 40 41|||ArtOrDet||||||REQUIRED|||-NONE-|||0
"First , for the case of marrige , people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings .","Firstly , for the case of marriage , people should be honest and tell their spouses that they may carry certain risks risk that may affect offspring offsprings .",A 0 1|||Wform|||Firstly|||REQUIRED|||-NONE-|||0; A 6 7|||Mec|||marriage|||REQUIRED|||-NONE-|||0; A 14 15|||Pref|||their|||REQUIRED|||-NONE-|||0; A 15 16|||Nn|||spouses|||REQUIRED|||-NONE-|||0; A 16 16|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 21 22|||Nn|||risks|||REQUIRED|||-NONE-|||0; A 26 27|||Mec|||offspring|||REQUIRED|||-NONE-|||0
It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found .,It is better to let the other party know the fact than certain type of genetic disease is a found . be after the baby is born,A 12 18|||WOinc||||||REQUIRED|||-NONE-|||0; A 18 18|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 23 24|||Vt|||be|||REQUIRED|||-NONE-|||0; A 25 25|||WOinc|||after the baby is born|||REQUIRED|||-NONE-|||0
It is better for both parties to be honest .,It is better for both parties to be honest .,NONE
"Secondly , genetic disease has a close relationship with the born gene together with their daily habits .","Secondly , genetic disease has a close relationship with their daily habits . a person 's",A 9 14|||Um||||||REQUIRED|||-NONE-|||0; A 14 15|||Pref|||a person 's|||REQUIRED|||-NONE-|||0
"For example , if a carrier is told that he/she has the risk to have diabetes .","For example , if a carrier is told that he/she has a high of developing have diabetes .",A 11 12|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 12|||Wci|||high|||REQUIRED|||-NONE-|||0; A 13 14|||Prep|||of|||REQUIRED|||-NONE-|||0; A 14 15|||Wci|||developing|||REQUIRED|||-NONE-|||0
"In this case , the carrier can eat less candies and chocolates to prevent intake to much sugars , and at the same time , if the carrier tell this information to the relatives , it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease .","In this case , they can eat less fewer and chocolates to prevent intake the too to sugar . At at the same time , if the carrier tell tells information to the their , it will be useful for them to know that they may have develop in the future becouse because related genes and , they can perform the same exercises to intake less sugar and to prevent the disease .","A 4 6|||Pref|||they|||REQUIRED|||-NONE-|||0; A 8 9|||Wci|||fewer|||REQUIRED|||-NONE-|||0; A 14 14|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 15 15|||Prep|||of|||REQUIRED|||-NONE-|||0; A 15 16|||Mec|||too|||REQUIRED|||-NONE-|||0; A 17 18|||Nn|||sugar|||REQUIRED|||-NONE-|||0; A 18 21|||Sfrag|||. At|||REQUIRED|||-NONE-|||0; A 28 29|||SVA|||tells|||REQUIRED|||-NONE-|||0; A 32 33|||Pref|||their|||REQUIRED|||-NONE-|||0; A 46 47|||Wci|||develop|||REQUIRED|||-NONE-|||0; A 51 52|||Mec|||because|||REQUIRED|||-NONE-|||0; A 55 55|||Mec|||,|||REQUIRED|||-NONE-|||0; A 61 62|||Nn|||exercises|||REQUIRED|||-NONE-|||0; A 66 66|||Mec|||,|||REQUIRED|||-NONE-|||0; A 66 67|||Trans|||and|||REQUIRED|||-NONE-|||0"
"Otherwise , if the other parties did not know , they may end up with to have diabete in the future without any prevention .","Otherwise , if the other parties did not know , they may end up with have having diabetes the future without , trying preventions prevention .","A 15 16|||Prep||||||REQUIRED|||-NONE-|||0; A 16 17|||Vform|||having|||REQUIRED|||-NONE-|||0; A 17 18|||Mec|||diabetes|||REQUIRED|||-NONE-|||0; A 21 21|||Mec|||,|||REQUIRED|||-NONE-|||0; A 22 22|||V0|||trying|||REQUIRED|||-NONE-|||0; A 23 24|||Nn|||preventions|||REQUIRED|||-NONE-|||0"
"In conclusion , we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs .","In conclusion , we can see that the benefits of the carriers relatives overweights the ' outweighs costs disadvantages",A 4 5|||Vm|||can|||REQUIRED|||-NONE-|||0; A 5 6|||Wci|||see|||REQUIRED|||-NONE-|||0; A 6 6|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 10 14|||WOinc||||||REQUIRED|||-NONE-|||0; A 15 15|||Npos|||'|||REQUIRED|||-NONE-|||0; A 16 16|||WOinc|||about their genetic risk|||REQUIRED|||-NONE-|||0; A 16 17|||Mec|||outweighs|||REQUIRED|||-NONE-|||0; A 18 19|||Wci|||disadvantages|||REQUIRED|||-NONE-|||0
"Therefore , it would be better for the carrier to be obligated to tell the information to the relatives , in order to let them know and prevent the potential disease through daily exercises .","Therefore , it would be better for the carrier to be obligated to tell the information to their relatives , in order to let them know and prevent the potential disease through daily exercise .",A 17 18|||Pref|||their|||REQUIRED|||-NONE-|||0; A 33 34|||Nn|||exercise|||REQUIRED|||-NONE-|||0
"Among all kinds of different diseases , a large amount of different kinds of disorders are caused by genetic reasons .","Among all kinds of different diseases , a large amount of disorders are caused by genetic reasons .",A 11 14|||Rloc-||||||REQUIRED|||-NONE-|||0
