Before Statements,After Statements,Error Correction
"In retrospect, its is also ones duty to ensure that he or she undergo periodic healthchecks in their own.","In retrospect, it is also one's duty to ensure that he or she undergoes periodic health checks of their own.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [6], 'idx_tgt': [6, 7], 'corr_type': 'Npos'}, {'idx_src': [14], 'idx_tgt': [15], 'corr_type': 'SVA'}, {'idx_src': [16], 'idx_tgt': [17, 18], 'corr_type': 'Mec'}, {'idx_src': [17], 'idx_tgt': [19], 'corr_type': 'Prep'}]"
Sometimes some family structure and cultural beliefs can influence the pattern of communication.,Sometimes family structure and cultural beliefs can influence the pattern of communication.,"[{'idx_src': [1], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"Depending on whom the genetic risk was discovered from: the son or daughter for example, the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed' to tell.","Depending on whom the genetic risk was discovered from: the son or daughter for example, the parents who know about this would decide who gets told and who takes precedence in being 'allowed' to tell.","[{'idx_src': [20], 'idx_tgt': [20], 'corr_type': 'SVA'}, {'idx_src': [29], 'idx_tgt': [29], 'corr_type': 'Pform'}, {'idx_src': [31], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]"
"For example, within a family, regardless of who had first received genetic information, parents were seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","For example, within a family, regardless of who has first received the genetic information, parents would be seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","[{'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'Vt'}, {'idx_src': [], 'idx_tgt': [13], 'corr_type': 'ArtOrDet'}, {'idx_src': [17], 'idx_tgt': [18, 19], 'corr_type': 'Vm'}]"
"In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information as they not want to know.","In addition, a woman who tested positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information that they do not want to know.","[{'idx_src': [5], 'idx_tgt': [5, 6], 'corr_type': 'Vform'}, {'idx_src': [47], 'idx_tgt': [48], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [50], 'corr_type': 'V0'}]"
"Hence, there were also tensions if participants felt that they could neither pass on information to relatives who needed to know(such as nieces and nephews) nor persuade those with authority(the parents) to do so.","Hence, there would also be tension if participants felt that they could neither pass on information to relatives who needed to know(such as nieces and nephews), nor persuade those with authority(the parents) to do so.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Vm'}, {'idx_src': [], 'idx_tgt': [5], 'corr_type': 'V0'}, {'idx_src': [5], 'idx_tgt': [6], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [30], 'corr_type': 'Mec'}]"
The notion of authority also extended' 'vertically'.,The notion of authority also extends' 'vertically'.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Vt'}]"
"For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself while the aunt is.","For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself, while the aunt is.","[{'idx_src': [], 'idx_tgt': [26], 'corr_type': 'Mec'}]"
"From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists 'views of family relationships, or about which blood(or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists 'views of family relationships, or about which blood(or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.",[]
"Ultimately, one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure.","Ultimately, one must bring attention to who may benefit from such information and assist those at risk to make considered decisions about disclosure.","[{'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Spar'}]"
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive' the risk is to them.,Whose duty it is to inform relatives who are at risk or not greatly depends on personal morals and the nature of how 'directive' the risk is to them.,"[{'idx_src': [6, 7, 8], 'idx_tgt': [6, 7, 8, 9, 10], 'corr_type': 'WOinc'}, {'idx_src': [14], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [17], 'corr_type': 'Nn'}]"
People with close blood relationship generally carry some similar genes.,People with close blood relationships generally carry some similar genes.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Nn'}]"
"In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows.","In this case, if one of the family members or close relatives is found to carry a genetic risk, it is better for the patient to tell their close relatives about the issue and let others know about the risk so that their family members are able to perform some daily exercises to prevent the potential disease, or they could go to hospital and check for the corresponding flaws.","[{'idx_src': [], 'idx_tgt': [17], 'corr_type': 'ArtOrDet'}, {'idx_src': [28], 'idx_tgt': [29], 'corr_type': 'Pform'}, {'idx_src': [37], 'idx_tgt': [38], 'corr_type': 'Vform'}, {'idx_src': [43], 'idx_tgt': [44], 'corr_type': 'Pref'}, {'idx_src': [44], 'idx_tgt': [45], 'corr_type': 'Mec'}, {'idx_src': [52], 'idx_tgt': [53], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [59], 'corr_type': 'Mec'}, {'idx_src': [60], 'idx_tgt': [62], 'corr_type': 'Vm'}, {'idx_src': [68], 'idx_tgt': [70], 'corr_type': 'Mec'}, {'idx_src': [69], 'idx_tgt': [71], 'corr_type': 'Mec'}]"
"In my opinion, although the annouance of carrying a genetic risk involves the issue of self privacy, it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease.","In my opinion, although the announcement of carrying genetic risk involves the issue of privacy, it is necessary for the carrier to raise the issue with his or her relatives in order for them to prevent the potential disease.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [9], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [25], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [26, 27], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [29], 'idx_tgt': [24], 'corr_type': 'Wci'}, {'idx_src': [32], 'idx_tgt': [27], 'corr_type': 'Prep'}]"
I agree with this statement to a large extent.,I agree with this statement to a large extent.,[]
Focus on the negative side of the annouance of genetic risk first.,Let us focus on the negative side of the announcement of genetic risk first.,"[{'idx_src': [0], 'idx_tgt': [0, 1, 2], 'corr_type': 'Others'}, {'idx_src': [7], 'idx_tgt': [9], 'corr_type': 'Mec'}]"
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease.,Large numbers of patients with a genetic risk would want to keep it a secret as the genetic risk may indicate their high chance of carrying a certain disease.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'ArtOrDet'}, {'idx_src': [13], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [21], 'idx_tgt': [20], 'corr_type': 'SVA'}, {'idx_src': [25], 'idx_tgt': [24], 'corr_type': 'Prep'}, {'idx_src': [26], 'idx_tgt': [25], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [26], 'corr_type': 'ArtOrDet'}]"
"Especially for the young people without marrige, if he/she is known to have some genetic risk, it may have certain chance that his/her child would carry the same disease, but not in certain.","Especially for young unmarried people, if they are known to have some genetic risk, there may be a certain chance that their child would carry the same disease, but not for certain.","[{'idx_src': [2], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [4, 5, 6], 'idx_tgt': [3, 4], 'corr_type': 'Wci'}, {'idx_src': [9], 'idx_tgt': [7], 'corr_type': 'Pref'}, {'idx_src': [10], 'idx_tgt': [8], 'corr_type': 'SVA'}, {'idx_src': [18, 19, 20], 'idx_tgt': [16, 17, 18, 19], 'corr_type': 'Wci'}, {'idx_src': [24], 'idx_tgt': [23], 'corr_type': 'Pref'}, {'idx_src': [34], 'idx_tgt': [33], 'corr_type': 'Prep'}]"
"Therefore, to keep the information as secret to his/her future spouce would help the relationship.","Therefore, keeping the information a secret from their future spouse would help the relationship.","[{'idx_src': [2], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [3], 'idx_tgt': [2], 'corr_type': 'Vform'}, {'idx_src': [6], 'idx_tgt': [5], 'corr_type': 'ArtOrDet'}, {'idx_src': [8], 'idx_tgt': [7], 'corr_type': 'Prep'}, {'idx_src': [9], 'idx_tgt': [8], 'corr_type': 'Pref'}, {'idx_src': [11], 'idx_tgt': [10], 'corr_type': 'Mec'}]"
"Secondly, annouance the potential risk would cause the family member to be scared of this certain issue, although the factor would not be that serious, people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease, and this creats unnecessary costs to the family.","Secondly, announcing the potential risk would cause the family member to be scared of this issue, and although the factor would not be that serious, people would still fear that they would get some potential disease in the future and thus go to hospital to do additional checks or take more medicine in order to prevent the disease, and this would create unnecessary costs to the family.","[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Vform'}, {'idx_src': [16], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [18], 'corr_type': 'Trans'}, {'idx_src': [35], 'idx_tgt': [35], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [42], 'corr_type': 'Trans'}, {'idx_src': [46], 'idx_tgt': [47], 'corr_type': 'Prep'}, {'idx_src': [49], 'idx_tgt': [50], 'corr_type': 'Nn'}, {'idx_src': [63], 'idx_tgt': [64, 65], 'corr_type': 'Vm'}]"
"Furthermore, the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease.","Furthermore, the announcement of genetic risk would affect the relationship with relatives as sometimes others may not want to stay too close to the carrier to ensure that they have less chance of getting the potential disease.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [12], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [18, 19], 'idx_tgt': [17, 18], 'corr_type': 'Wci'}, {'idx_src': [27], 'idx_tgt': [26, 27], 'corr_type': 'Vform'}, {'idx_src': [33], 'idx_tgt': [33], 'corr_type': 'Prep'}, {'idx_src': [34], 'idx_tgt': [34], 'corr_type': 'Vform'}]"
"On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extend and help to keep the privacy, but it has much larger negative impacts to the family members and relatives.","On the other hand, if the genetic risk is kept secret, although it may benefit the carrier to a certain extent and help keep their privacy, it will have a much larger negative impact on their family members and relatives.","[{'idx_src': [11, 12], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [24], 'idx_tgt': [22], 'corr_type': 'Mec'}, {'idx_src': [27], 'idx_tgt': [], 'corr_type': 'Vform'}, {'idx_src': [29], 'idx_tgt': [26], 'corr_type': 'Pform'}, {'idx_src': [32], 'idx_tgt': [], 'corr_type': 'Trans'}, {'idx_src': [34], 'idx_tgt': [30, 31], 'corr_type': 'Vm'}, {'idx_src': [], 'idx_tgt': [32], 'corr_type': 'ArtOrDet'}, {'idx_src': [38], 'idx_tgt': [36], 'corr_type': 'Wform'}, {'idx_src': [39], 'idx_tgt': [37], 'corr_type': 'Prep'}, {'idx_src': [40], 'idx_tgt': [38], 'corr_type': 'Pform'}]"
"First, for the case of marrige, people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings.","First, in the case of marriage, a person should be honest and tell their spouse they may carry a certain genetic risk that may affect their offspring.","[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Prep'}, {'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [8], 'idx_tgt': [8, 9], 'corr_type': 'Nn'}, {'idx_src': [14], 'idx_tgt': [15], 'corr_type': 'Pform'}, {'idx_src': [15], 'idx_tgt': [16], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [20], 'corr_type': 'ArtOrDet'}, {'idx_src': [26], 'idx_tgt': [28], 'corr_type': 'Nn'}]"
It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found.,It is better to let the other party know this fact now rather than after a baby is born and certain type of genetic disease is found.,"[{'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [11, 12], 'corr_type': 'Others'}, {'idx_src': [13], 'idx_tgt': [15], 'corr_type': 'ArtOrDet'}]"
It is better for both parties to be honest.,It is better for both parties to be honest.,[]
"Secondly, genetic disease has a close relationship with the born gene together with their daily habits.","Secondly, genetic disease has a close relationship with the born gene together with their daily habits.",[]
"For example, if a carrier is told that he/she has the risk to have diabetes.","For example, if a carrier is told that they have the risk of having diabetes.","[{'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Pform'}, {'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'SVA'}, {'idx_src': [13, 14], 'idx_tgt': [13, 14], 'corr_type': 'Vform'}]"
"In this case, the carrier can eat less candies and chocolates to prevent intake to much sugars, and at the same time, if the carrier tell this information to the relatives, it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease.","In this case, the carrier could eat less candy and chocolate and prevent intake of too much sugar, and at the same time, if the carrier tells this information to their relatives, it will be useful for them to know that they may have diabetes in the future because of related genes and they can perform the same exercises to take in less sugar to prevent the disease.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Vm'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Nn'}, {'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Trans'}, {'idx_src': [15], 'idx_tgt': [15, 16], 'corr_type': 'Prep'}, {'idx_src': [17], 'idx_tgt': [18], 'corr_type': 'Nn'}, {'idx_src': [28], 'idx_tgt': [29], 'corr_type': 'Vform'}, {'idx_src': [32], 'idx_tgt': [33], 'corr_type': 'Pform'}, {'idx_src': [51], 'idx_tgt': [52], 'corr_type': 'Mec'}, {'idx_src': [61], 'idx_tgt': [62], 'corr_type': 'Nn'}, {'idx_src': [63], 'idx_tgt': [64, 65], 'corr_type': 'Vform'}]"
"Otherwise, if the other parties did not know, they may end up with to have diabete in the future without any prevention.","Otherwise, if the other parties did not know, they may end up with diabetes in the future without any prevention.","[{'idx_src': [15], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [16], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [17], 'idx_tgt': [15], 'corr_type': 'Mec'}]"
"In conclusion, we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs.","In conclusion, we can tell that the benefits of telling the carrier's relatives about their genetic risk overweighs the costs.","[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Vt'}, {'idx_src': [], 'idx_tgt': [6], 'corr_type': 'Prep'}, {'idx_src': [10, 11, 12, 13, 14, 15], 'idx_tgt': [11, 12, 13, 14, 15, 16, 17, 18], 'corr_type': 'WOinc'}, {'idx_src': [16], 'idx_tgt': [19], 'corr_type': 'Mec'}]"
"Therefore, it would be better for the carrier to be obligated to tell the information to the relatives, in order to let them know and prevent the potential disease through daily exercises.","Therefore, it would be better for the carrier to be obligated to tell the information to their relatives, in order to let them know and prevent the potential disease through daily exercises.","[{'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Pform'}]"
"Among all kinds of different diseases, a large amount of different kinds of disorders are caused by genetic reasons.","Among all kinds of different diseases, a large amount of disorders are caused by genetic factors.","[{'idx_src': [11, 12, 13], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [19], 'idx_tgt': [16], 'corr_type': 'Wci'}]"
Genetic disorder may or may not be hirataged hereditary disease and it is sometimes hard to find out one has these kinds of diseases.,Genetic disorders may or may not be inherited hereditary diseases and it is sometimes hard to find out if one has one of these kinds of diseases.,"[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'Nn'}, {'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Mec'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [18], 'corr_type': 'Trans'}, {'idx_src': [], 'idx_tgt': [21, 22], 'corr_type': 'Prep'}]"
It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene.,It has long been debated whether a carrier of a known genetic risk should be obligated to tell their relatives that their disease is caused by genes.,"[{'idx_src': [1, 2, 3, 4, 5, 6], 'idx_tgt': [1, 2, 3, 4], 'corr_type': 'Others'}, {'idx_src': [20, 21, 22], 'idx_tgt': [18], 'corr_type': 'Pref'}, {'idx_src': [25, 26, 27], 'idx_tgt': [21], 'corr_type': 'Pref'}, {'idx_src': [32], 'idx_tgt': [26], 'corr_type': 'Nn'}]"
"From the legal aspect, the answer is no but from the ethical aspect, the answer should be yes.","From a legal aspect, the answer is no. But from an ethical aspect, the answer should be yes.","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'ArtOrDet'}, {'idx_src': [9], 'idx_tgt': [9, 10], 'corr_type': 'Srun'}, {'idx_src': [11], 'idx_tgt': [12], 'corr_type': 'ArtOrDet'}]"
