Before Statements,After Statements,Error Correction
"This also means that as soon a person is made aware of his or her genetic profile, he or she concurently has a knowledge about others.","This also means that as soon a person is made aware of his or her genetic profile, he or she has a knowledge about others '.","[{'idx_src': [21], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [26], 'corr_type': 'Npos'}]"
"This knowledge maybe relavant to them, and vice versa.",This knowledge may be relevant to them.,"[{'idx_src': [2], 'idx_tgt': [2, 3], 'corr_type': 'Mec'}, {'idx_src': [3], 'idx_tgt': [4], 'corr_type': 'Mec'}, {'idx_src': [6, 7, 8, 9], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
An example that may serve as an illustration is breast cancer.,An example that may serve as an illustration is breast cancer.,[]
It is hereditary.,The risk of developing it is hereditary.,"[{'idx_src': [0], 'idx_tgt': [0, 1, 2, 3, 4], 'corr_type': 'Others'}]"
Do one who suffered from this disease keep it a secret of infrom their relatives?,Should one who suffers from this disease keep it a secret from their relatives?,"[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Vm'}, {'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Vt'}, {'idx_src': [11], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [12], 'idx_tgt': [11], 'corr_type': 'Mec'}]"
"In retrospect, its is also ones duty to ensure that he or she undergo periodic healthchecks in their own.","In retrospect, it is also one's own duty to their undergo periodic health checks.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [6], 'idx_tgt': [6, 7], 'corr_type': 'Npos'}, {'idx_src': [], 'idx_tgt': [8], 'corr_type': 'WOadv'}, {'idx_src': [9, 10, 11, 12, 13], 'idx_tgt': [11], 'corr_type': 'Pref'}, {'idx_src': [16], 'idx_tgt': [14, 15], 'corr_type': 'Mec'}, {'idx_src': [17, 18, 19], 'idx_tgt': [], 'corr_type': 'WOadv'}]"
Sometimes some family structure and cultural beliefs can influence the pattern of communication.,Sometimes family structure and cultural beliefs can influence the pattern of communication.,"[{'idx_src': [1], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"Depending on whom the genetic risk was discovered from: the son or daughter for example, the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed' to tell.","Depending on from whom the genetic risk was discovered — the son or daughter, for example — the parent who knows about this would decide who gets told and who takes the precedence in being 'allowed' to tell.","[{'idx_src': [], 'idx_tgt': [2], 'corr_type': 'WOadv'}, {'idx_src': [8], 'idx_tgt': [], 'corr_type': 'WOadv'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [14], 'corr_type': 'Mec'}, {'idx_src': [16], 'idx_tgt': [17], 'corr_type': 'Mec'}, {'idx_src': [18], 'idx_tgt': [19], 'corr_type': 'Nn'}, {'idx_src': [29], 'idx_tgt': [30], 'corr_type': 'Pform'}]"
"For example, within a family, regardless of who had first received genetic information, parents were seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","For example, within a family, regardless of who first received the genetic information, parents are seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","[{'idx_src': [10], 'idx_tgt': [], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [12], 'corr_type': 'ArtOrDet'}, {'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Vt'}]"
"In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information as they not want to know.","In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than to do it herself, although this may be further complicated by an individual's response to risk information as they might not want to know.","[{'idx_src': [], 'idx_tgt': [29], 'corr_type': 'Prep'}, {'idx_src': [], 'idx_tgt': [50], 'corr_type': 'Vm'}]"
"Hence, there were also tensions if participants felt that they could neither pass on information to relatives who needed to know(such as nieces and nephews) nor persuade those with authority(the parents) to do so.","Hence, there are also tensions if participants feel that they can neither pass on information to relatives who need to know(such as nieces and nephews), nor persuade those with the authority(the parents) to do so.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Vt'}, {'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'Vt'}, {'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Vt'}, {'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Vt'}, {'idx_src': [], 'idx_tgt': [29], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [34], 'corr_type': 'ArtOrDet'}]"
The notion of authority also extended' 'vertically'.,The notion of authority also extends' 'vertically'.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Vt'}]"
"For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself while the aunt is.","For example, a grandmother may have more authority to pass on information than an aunt, even if she is not at risk herself, while the aunt is.","[{'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Wci'}, {'idx_src': [23], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [25], 'corr_type': 'Mec'}]"
"From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists 'views of family relationships, or about which blood(or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","From a practitioner's perspective, these findings are important because if constructs of the family and kinship are a social construct, they may not be in line with geneticists 'views about family relationships, or about which blood(or non-blood) relatives should be informed and by whom. This is also likely to be dependent on the cultural and ethnic context.","[{'idx_src': [], 'idx_tgt': [5], 'corr_type': 'Mec'}, {'idx_src': [11], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [22], 'corr_type': 'Mec'}, {'idx_src': [32], 'idx_tgt': [33], 'corr_type': 'Prep'}, {'idx_src': [51, 52], 'idx_tgt': [52, 53], 'corr_type': 'Sfrag'}]"
"Ultimately, one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure.","Ultimately, one must bring attention to who may benefit from such information, and assist those at risk to make considered decisions about disclosure.","[{'idx_src': [], 'idx_tgt': [13], 'corr_type': 'Mec'}, {'idx_src': [14], 'idx_tgt': [15], 'corr_type': 'Vform'}]"
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive' the risk is to them.,Whose duty it is to inform at-risk relatives(or not) greatly depends on personal morals and the nature of how 'direct' the risk is to them.,"[{'idx_src': [6, 7], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [9, 10], 'idx_tgt': [8, 9, 10, 11], 'corr_type': 'Mec'}, {'idx_src': [14], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [16], 'corr_type': 'Nn'}, {'idx_src': [22], 'idx_tgt': [22], 'corr_type': 'Mec'}]"
People with close blood relationship generally carry some similar genes.,People with close blood relationships generally carry similar genes.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Nn'}, {'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows.","In the case that a family member or close relative is found to carry a genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others know about the risk so that his/her family members are able to perform some daily exercises to prevent the potential disease, or go to hospital to check for the corresponding genes.","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'ArtOrDet'}, {'idx_src': [3], 'idx_tgt': [], 'corr_type': 'Mec'}, {'idx_src': [4], 'idx_tgt': [3], 'corr_type': 'Ssub'}, {'idx_src': [5, 6, 7], 'idx_tgt': [4], 'corr_type': 'ArtOrDet'}, {'idx_src': [9], 'idx_tgt': [6], 'corr_type': 'Nn'}, {'idx_src': [12], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [14], 'corr_type': 'ArtOrDet'}, {'idx_src': [37], 'idx_tgt': [35], 'corr_type': 'Vt'}, {'idx_src': [44], 'idx_tgt': [42], 'corr_type': 'Mec'}, {'idx_src': [52], 'idx_tgt': [50], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [56], 'corr_type': 'Mec'}, {'idx_src': [59, 60], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [64], 'idx_tgt': [61], 'corr_type': 'Prep'}, {'idx_src': [68], 'idx_tgt': [65], 'corr_type': 'Mec'}, {'idx_src': [69], 'idx_tgt': [66], 'corr_type': 'Wci'}]"
"In my opinion, although the annouance of carrying a genetic risk involves the issue of self privacy, it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease.","In my opinion, although the announcement of carrying a genetic risk involves the issue of privacy, it is necessary for the carrier to be obligated to tell his/her relatives in order for them to try to prevent the potential disease.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [16], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [30, 31, 32], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [33, 34, 35], 'idx_tgt': [29], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [36, 37], 'corr_type': 'Wci'}]"
I agree with this statement to a large extent.,I agree with this statement to a large extent.,[]
Focus on the negative side of the annouance of genetic risk first.,Focus on the negative side of the announcement of genetic risk first.,"[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Mec'}]"
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease.,Large numbers of patients with the genetic risk would want to keep it a secret as the genetic risk may indicate their high chance of carrying a certain disease.,"[{'idx_src': [13], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [21], 'idx_tgt': [20], 'corr_type': 'Vform'}, {'idx_src': [25], 'idx_tgt': [24], 'corr_type': 'Prep'}, {'idx_src': [26], 'idx_tgt': [25], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [26], 'corr_type': 'ArtOrDet'}]"
"Especially for the young people without marrige, if he/she is known to have some genetic risk, it may have certain chance that his/her child would carry the same disease, but not in certain.","Especially for a young unmarried person, if he/she is known to have some genetic risk, it may increase the chance that his/her children will carry the same disease, but not for certain.","[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [4], 'corr_type': 'WOinc'}, {'idx_src': [4], 'idx_tgt': [5], 'corr_type': 'Nn'}, {'idx_src': [5, 6], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [20, 21], 'idx_tgt': [19], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [20], 'corr_type': 'ArtOrDet'}, {'idx_src': [25], 'idx_tgt': [24], 'corr_type': 'Nn'}, {'idx_src': [26], 'idx_tgt': [25], 'corr_type': 'Vm'}, {'idx_src': [34], 'idx_tgt': [33], 'corr_type': 'Prep'}]"
"Therefore, to keep the information as secret to his/her future spouce would help the relationship.","Therefore, to keep the information as secret to his/her future spouse would help the relationship.","[{'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Mec'}]"
"Secondly, annouance the potential risk would cause the family member to be scared of this certain issue, although the factor would not be that serious, people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease, and this creats unnecessary costs to the family.","Secondly, the announcement of the potential risk may cause the family member to become scared of the issue; although this factor would not be very serious, people would still fear that they will develop some potential disease in the future. They may go to hospital to do additional checks, or take more medicine in order to prevent the disease; this creats unnecessary costs for the family.","[{'idx_src': [2], 'idx_tgt': [2, 3], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [4], 'corr_type': 'Prep'}, {'idx_src': [6], 'idx_tgt': [8], 'corr_type': 'Vm'}, {'idx_src': [12], 'idx_tgt': [14], 'corr_type': 'Wci'}, {'idx_src': [15], 'idx_tgt': [17], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [18], 'idx_tgt': [19], 'corr_type': 'Srun'}, {'idx_src': [20], 'idx_tgt': [21], 'corr_type': 'ArtOrDet'}, {'idx_src': [25], 'idx_tgt': [26], 'corr_type': 'Wci'}, {'idx_src': [34], 'idx_tgt': [35], 'corr_type': 'Vm'}, {'idx_src': [35], 'idx_tgt': [36], 'corr_type': 'Wci'}, {'idx_src': [42], 'idx_tgt': [43, 44, 45], 'corr_type': 'Srun'}, {'idx_src': [46], 'idx_tgt': [49], 'corr_type': 'Prep'}, {'idx_src': [49], 'idx_tgt': [52, 53], 'corr_type': 'Nn'}, {'idx_src': [60], 'idx_tgt': [64], 'corr_type': 'Srun'}, {'idx_src': [61], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [66], 'idx_tgt': [69], 'corr_type': 'Prep'}]"
"Furthermore, the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease.","Furthermore, the announcement of genetic risk may affect the relationship with relatives, as sometimes others may think to not stay too close to the carrier so they have less chance of getting the disease.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Vm'}, {'idx_src': [12], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [13], 'corr_type': 'Mec'}, {'idx_src': [19, 20], 'idx_tgt': [19, 20], 'corr_type': 'WOinc'}, {'idx_src': [28], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [33], 'idx_tgt': [32], 'corr_type': 'Prep'}, {'idx_src': [34], 'idx_tgt': [33], 'corr_type': 'Vform'}, {'idx_src': [36], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extend and help to keep the privacy, but it has much larger negative impacts to the family members and relatives.","On the other hand, if the genetic risk is kept secret, although it may benefit the carrier to a certain extent and help to maintain privacy, it has much larger negative impacts on family members and relatives.","[{'idx_src': [11, 12], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [24], 'idx_tgt': [22], 'corr_type': 'Mec'}, {'idx_src': [28], 'idx_tgt': [26], 'corr_type': 'Wci'}, {'idx_src': [29], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [32], 'idx_tgt': [], 'corr_type': 'Trans'}, {'idx_src': [39], 'idx_tgt': [35], 'corr_type': 'Prep'}, {'idx_src': [40], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]"
"First, for the case of marrige, people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings.","Firstly, for the case of marriage, people should be honest and tell their spouses that they may carry certain genetic risks that may affect their offspring.","[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Wform'}, {'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Pref'}, {'idx_src': [15], 'idx_tgt': [15], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [16], 'corr_type': 'Ssub'}, {'idx_src': [21], 'idx_tgt': [22], 'corr_type': 'Nn'}, {'idx_src': [26], 'idx_tgt': [27], 'corr_type': 'Mec'}]"
It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found.,It is better to let the other party know the fact than a certain type of genetic disease be found after the baby is born.,"[{'idx_src': [12, 13, 14, 15, 16, 17], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [], 'idx_tgt': [12], 'corr_type': 'ArtOrDet'}, {'idx_src': [23], 'idx_tgt': [18], 'corr_type': 'Vt'}, {'idx_src': [], 'idx_tgt': [20, 21, 22, 23, 24], 'corr_type': 'WOinc'}]"
It is better for both parties to be honest.,It is better for both parties to be honest.,[]
"Secondly, genetic disease has a close relationship with the born gene together with their daily habits.","Secondly, genetic disease has a close relationship with the born gene together with a person's daily habits.","[{'idx_src': [14], 'idx_tgt': [14, 15, 16], 'corr_type': 'Pref'}]"
"For example, if a carrier is told that he/she has the risk to have diabetes.","For example, if a carrier is told that he/she has a high risk of developing diabetes.","[{'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [12], 'corr_type': 'Wci'}, {'idx_src': [13], 'idx_tgt': [14], 'corr_type': 'Prep'}, {'idx_src': [14], 'idx_tgt': [15], 'corr_type': 'Wci'}]"
