Before Statements,After Statements,Error Correction
"For example, within a family, regardless of who had first received genetic information, parents were seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","For example, within a family, regardless of who had first received the genetic information, parents were seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","[{'idx_src': [13, 14], 'idx_tgt': [13, 14], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [15], 'corr_type': 'Others'}]"
"In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information as they not want to know.","In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information that they may not want to know.","[{'idx_src': [47], 'idx_tgt': [47], 'corr_type': 'Ssub'}, {'idx_src': [], 'idx_tgt': [49], 'corr_type': 'V0'}]"
"Hence, there were also tensions if participants felt that they could neither pass on information to relatives who needed to know(such as nieces and nephews) nor persuade those with authority(the parents) to do so.","Hence, there may be also tensions if participants felt that they could neither pass on information to relatives who needed to know(such as nieces and nephews) nor persuade those with authority(the parents) to do so.","[{'idx_src': [], 'idx_tgt': [3], 'corr_type': 'V0'}, {'idx_src': [3], 'idx_tgt': [4], 'corr_type': 'Vform'}]"
The notion of authority also extended' 'vertically'.,The notion of authority also extends' 'vertically'.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Vt'}]"
"For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself while the aunt is.","For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself, while the aunt is.","[{'idx_src': [], 'idx_tgt': [26], 'corr_type': 'Srun'}]"
"From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists 'views of family relationships, or about which blood(or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are social constructs, they may not be in line with geneticists 'views of family relationships about which blood(or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","[{'idx_src': [19], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [21], 'idx_tgt': [20], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [21], 'corr_type': 'Mec'}, {'idx_src': [35, 36], 'idx_tgt': [], 'corr_type': 'Srun'}]"
"Ultimately, one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure.","Ultimately, one must bring attention to who may benefit from such information, and to assisting those at risk to make considered decisions about disclosure.","[{'idx_src': [], 'idx_tgt': [13], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [15], 'corr_type': 'Vform'}]"
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive' the risk is to them.,Whose duty it is to inform relatives at risk or not greatly depends on personal morals and the nature of how 'directive' the risk is to them.,"[{'idx_src': [6, 7, 8], 'idx_tgt': [6, 7, 8], 'corr_type': 'WOadv'}, {'idx_src': [14], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [15], 'corr_type': 'Nn'}]"
People with close blood relationship generally carry some similar genes.,People with close blood relationships generally carry some similar genes.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Nn'}]"
"In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows.","In these cases, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue, and let others know about the risk. Subsequently, his/her family members would be able to perform some daily exercises to prevent the potential disease, or they might go to hospital and check for the corresponding flaws.","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'Pref'}, {'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [34], 'corr_type': 'Mec'}, {'idx_src': [37], 'idx_tgt': [38], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [42], 'corr_type': 'Srun'}, {'idx_src': [41, 42], 'idx_tgt': [43, 44], 'corr_type': 'Trans'}, {'idx_src': [44], 'idx_tgt': [46], 'corr_type': 'Mec'}, {'idx_src': [46], 'idx_tgt': [48, 49], 'corr_type': 'V0'}, {'idx_src': [52], 'idx_tgt': [55], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [61], 'corr_type': 'Mec'}, {'idx_src': [60], 'idx_tgt': [64], 'corr_type': 'Vt'}, {'idx_src': [68], 'idx_tgt': [72], 'corr_type': 'Mec'}, {'idx_src': [69], 'idx_tgt': [73], 'corr_type': 'Mec'}]"
"In my opinion, although the annouance of carrying a genetic risk involves the issue of self privacy, it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease.","In my opinion, although the announcement of carrying a genetic risk involves the issue of self privacy, it is necessary for the carrier to be obligated to tell his or her relatives, in order for them to be able to prevent the potential disease.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [30, 31], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [32], 'idx_tgt': [], 'corr_type': 'Trans'}, {'idx_src': [], 'idx_tgt': [34], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [40, 41, 42], 'corr_type': 'V0'}]"
I agree with this statement to a large extent.,I agree with this statement to a large extent.,[]
Focus on the negative side of the annouance of genetic risk first.,"Firstly, in opposition to announcing genetic risk,","[{'idx_src': [0], 'idx_tgt': [0, 1], 'corr_type': 'Trans'}, {'idx_src': [1], 'idx_tgt': [2], 'corr_type': 'Prep'}, {'idx_src': [2, 3, 4], 'idx_tgt': [3], 'corr_type': 'Wci'}, {'idx_src': [5], 'idx_tgt': [4], 'corr_type': 'Prep'}, {'idx_src': [6], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [7], 'idx_tgt': [5], 'corr_type': 'Wform'}, {'idx_src': [8], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [11], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [12], 'idx_tgt': [8], 'corr_type': 'Mec'}]"
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease.,there are large numbers of patients with genetic risks who would want to keep it as a secret as it may indicate their high chance to carry certain disease.,"[{'idx_src': [0], 'idx_tgt': [0, 1, 2], 'corr_type': 'Trans'}, {'idx_src': [5], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [7], 'idx_tgt': [8], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [9], 'corr_type': 'Ssub'}, {'idx_src': [17], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [18, 19], 'idx_tgt': [19], 'corr_type': 'Pform'}, {'idx_src': [21], 'idx_tgt': [21], 'corr_type': 'SVA'}]"
"Especially for the young people without marrige, if he/she is known to have some genetic risk, it may have certain chance that his/her child would carry the same disease, but not in certain.","In particular, for unmarried young people, if he/she is known to have some genetic risk, there may be uncertainties in whether his/her child would carry the same disease.","[{'idx_src': [0], 'idx_tgt': [0, 1, 2], 'corr_type': 'Wci'}, {'idx_src': [2], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [4], 'corr_type': 'WOadv'}, {'idx_src': [5, 6], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Pform'}, {'idx_src': [20], 'idx_tgt': [20], 'corr_type': 'Wci'}, {'idx_src': [21], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [22], 'idx_tgt': [21], 'corr_type': 'Wci'}, {'idx_src': [23], 'idx_tgt': [22, 23], 'corr_type': 'Trans'}, {'idx_src': [31, 32, 33, 34, 35], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"Therefore, to keep the information as secret to his/her future spouce would help the relationship.","Therefore, to keep the information from to their future spouse would help the relationship.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Prep'}, {'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [9], 'idx_tgt': [8], 'corr_type': 'Pform'}, {'idx_src': [11], 'idx_tgt': [10], 'corr_type': 'Mec'}]"
"Secondly, annouance the potential risk would cause the family member to be scared of this certain issue, although the factor would not be that serious, people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease, and this creats unnecessary costs to the family.","Secondly, announcing the potential risk would cause family members distress regarding this certain issue. Although the factor would not be that serious, people would still fear that they would develop some potential disease in the future, and therefore go to hospital for additional check-ups or take more medicine in order to prevent the disease, creating unnecessary costs to the family.","[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Mec'}, {'idx_src': [8], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [10], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [11, 12], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [13], 'idx_tgt': [10], 'corr_type': 'Wci'}, {'idx_src': [14], 'idx_tgt': [11], 'corr_type': 'Trans'}, {'idx_src': [18], 'idx_tgt': [15], 'corr_type': 'Srun'}, {'idx_src': [19], 'idx_tgt': [16], 'corr_type': 'Mec'}, {'idx_src': [35], 'idx_tgt': [32], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [39], 'corr_type': 'Mec'}, {'idx_src': [42], 'idx_tgt': [40, 41], 'corr_type': 'Trans'}, {'idx_src': [46], 'idx_tgt': [45], 'corr_type': 'Trans'}, {'idx_src': [47], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [49], 'idx_tgt': [47], 'corr_type': 'Wci'}, {'idx_src': [61, 62], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [63], 'idx_tgt': [59], 'corr_type': 'Vform'}]"
"Furthermore, the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease.","Furthermore, the announcement of genetic risk would affect relationships with relatives as sometimes others may aim not to stay too close to the carrier so that they have less chance to contract the potential disease.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [9], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [10], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [12], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [18], 'idx_tgt': [16], 'corr_type': 'Wci'}, {'idx_src': [34], 'idx_tgt': [32], 'corr_type': 'Wci'}]"
"On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extend and help to keep the privacy, but it has much larger negative impacts to the family members and relatives.","On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extent in terms of privacy, it has much larger negative impacts to the family members and relatives.","[{'idx_src': [24], 'idx_tgt': [24], 'corr_type': 'Mec'}, {'idx_src': [25, 26, 27, 28, 29], 'idx_tgt': [25, 26, 27], 'corr_type': 'Trans'}, {'idx_src': [32], 'idx_tgt': [], 'corr_type': 'Trans'}]"
"First, for the case of marrige, people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings.","Firstly, in the case of marrige, people should be honest and tell their spouse that they may carry certain genetic risk that may affect their offsprings.","[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Wform'}, {'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Prep'}, {'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Pform'}, {'idx_src': [15], 'idx_tgt': [15], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [16], 'corr_type': 'Ssub'}]"
It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found.,"It is better to let the other party know the facts earlier, rather than after the baby is born and a genetic disease is found.","[{'idx_src': [10], 'idx_tgt': [10, 11, 12], 'corr_type': 'Trans'}, {'idx_src': [], 'idx_tgt': [13], 'corr_type': 'Trans'}, {'idx_src': [18, 19], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [20], 'idx_tgt': [21], 'corr_type': 'ArtOrDet'}]"
It is better for both parties to be honest.,It is better for both parties to be honest.,[]
"Secondly, genetic disease has a close relationship with the born gene together with their daily habits.","Secondly, genetic disease results from the inborn genes together with people's daily habits.","[{'idx_src': [4, 5, 6], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [7], 'idx_tgt': [4], 'corr_type': 'Wci'}, {'idx_src': [8], 'idx_tgt': [5], 'corr_type': 'Prep'}, {'idx_src': [10], 'idx_tgt': [7], 'corr_type': 'Wform'}, {'idx_src': [11], 'idx_tgt': [8], 'corr_type': 'Nn'}, {'idx_src': [14], 'idx_tgt': [11, 12], 'corr_type': 'Pref'}]"
"For example, if a carrier is told that he/she has the risk to have diabetes.","For example, if a carrier is told that he/she has the risk of diabetes.","[{'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'Prep'}, {'idx_src': [14], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"In this case, the carrier can eat less candies and chocolates to prevent intake to much sugars, and at the same time, if the carrier tell this information to the relatives, it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease.","In this case, the carrier can eat less candy and chocolate to prevent too much sugar intake. Similarly, if the carrier tells this information to the relatives, it will be useful for them to know that they may have diabetes in the future because of related genes, and then they can adopt similar approaches to lessen sugar intake to prevent the disease.","[{'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Nn'}, {'idx_src': [14], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [15], 'idx_tgt': [14], 'corr_type': 'Mec'}, {'idx_src': [17], 'idx_tgt': [16, 17], 'corr_type': 'WOadv'}, {'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Srun'}, {'idx_src': [19, 20, 21], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [22], 'idx_tgt': [19], 'corr_type': 'Wform'}, {'idx_src': [23], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [28], 'idx_tgt': [24], 'corr_type': 'SVA'}, {'idx_src': [51], 'idx_tgt': [47], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [51], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [53], 'corr_type': 'Trans'}, {'idx_src': [58], 'idx_tgt': [56], 'corr_type': 'Wci'}, {'idx_src': [59], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [60], 'idx_tgt': [57], 'corr_type': 'Wci'}, {'idx_src': [61], 'idx_tgt': [58], 'corr_type': 'Wci'}, {'idx_src': [63], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [64], 'idx_tgt': [60], 'corr_type': 'Wform'}, {'idx_src': [], 'idx_tgt': [62], 'corr_type': 'Wci'}]"
"Otherwise, if the other parties did not know, they may end up with to have diabete in the future without any prevention.","Otherwise, if the other parties did not know, they may have diabetes in the future without any prevention.","[{'idx_src': [12, 13, 14, 15], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [17], 'idx_tgt': [13], 'corr_type': 'Mec'}]"
"In conclusion, we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs.","In conclusion, the benefits of telling genetic risk to the carriers 'relatives outweighs the disadvantages.","[{'idx_src': [3, 4, 5], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [12], 'corr_type': 'Npos'}, {'idx_src': [16], 'idx_tgt': [14], 'corr_type': 'Wci'}, {'idx_src': [18], 'idx_tgt': [16], 'corr_type': 'Wci'}]"
"Therefore, it would be better for the carrier to be obligated to tell the information to the relatives, in order to let them know and prevent the potential disease through daily exercises.","Therefore, it would be better for the carrier to be obligated to tell the information to the relatives, in order to let them know and encourage prevention of the potential disease through daily exercises.","[{'idx_src': [], 'idx_tgt': [27], 'corr_type': 'V0'}, {'idx_src': [27], 'idx_tgt': [28], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [29], 'corr_type': 'Prep'}]"
"Among all kinds of different diseases, a large amount of different kinds of disorders are caused by genetic reasons.","Among all kinds of different diseases, a large amount of different kinds of disorders are caused by genetic reasons.",[]
Genetic disorder may or may not be hirataged hereditary disease and it is sometimes hard to find out one has these kinds of diseases.,Genetic disorders may or may not be inherited hereditary diseases and it is sometimes hard to find out if one has these kinds of diseases.,"[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'Nn'}, {'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Wci'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [18], 'corr_type': 'Trans'}]"
It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene.,It is a recurrent discussion about whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is genetically caused.,"[{'idx_src': [3, 4], 'idx_tgt': [3], 'corr_type': 'Wci'}, {'idx_src': [6], 'idx_tgt': [5], 'corr_type': 'Trans'}, {'idx_src': [30], 'idx_tgt': [], 'corr_type': 'WOadv'}, {'idx_src': [31], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [32], 'idx_tgt': [29, 30], 'corr_type': 'WOadv'}]"
