Before Statements,After Statements,Error Correction
Sometimes some family structure and cultural beliefs can influence the pattern of communication.,"Sometimes family structure and cultural beliefs can influence the pattern of communication,","[{'idx_src': [1], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [12, 13], 'idx_tgt': [11], 'corr_type': 'Ssub'}]"
"Depending on whom the genetic risk was discovered from: the son or daughter for example, the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed' to tell.","depending on from whom the genetic risk was discovered. For example, the son or daughter of the parents who know about this would decide who gets told and who takes precedence in being 'allowed' to tell.","[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [2], 'corr_type': 'WOinc'}, {'idx_src': [8], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Srun'}, {'idx_src': [], 'idx_tgt': [10, 11, 12], 'corr_type': 'WOinc'}, {'idx_src': [14, 15, 16], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [], 'idx_tgt': [17], 'corr_type': 'Prep'}, {'idx_src': [20], 'idx_tgt': [21], 'corr_type': 'SVA'}, {'idx_src': [29], 'idx_tgt': [30], 'corr_type': 'Pform'}, {'idx_src': [31], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"For example, within a family, regardless of who had first received genetic information, parents were seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","For example, within a family, regardless of who had first received genetic information, parents are seen as having the primary responsibility to pass on information to any offspring, either adult or child, who are at risk.","[{'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Vt'}, {'idx_src': [], 'idx_tgt': [34, 35, 36, 37, 38], 'corr_type': 'Others'}]"
"In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information as they not want to know.","In addition, a woman testing positive for BRCA1 would be expected to allow her brother or sister to disclose such information to a niece or nephew rather than do it herself, although this may be further complicated by an individual's response to risk information as they may not want their sibling to know.","[{'idx_src': [], 'idx_tgt': [49], 'corr_type': 'V0'}, {'idx_src': [], 'idx_tgt': [52, 53], 'corr_type': 'Others'}]"
"Hence, there were also tensions if participants felt that they could neither pass on information to relatives who needed to know(such as nieces and nephews) nor persuade those with authority(the parents) to do so.","Hence, there also may be tensions if participants of studies feel that they can neither pass on information to relatives who need to know(such as nieces and nephews) nor persuade those with authority(the parents) to do so.","[{'idx_src': [3], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [4, 5], 'corr_type': 'V0'}, {'idx_src': [8], 'idx_tgt': [9, 10, 11], 'corr_type': 'Others'}, {'idx_src': [11], 'idx_tgt': [14], 'corr_type': 'Vt'}, {'idx_src': [19], 'idx_tgt': [22], 'corr_type': 'Vt'}]"
The notion of authority also extended' 'vertically'.,The notion of authority also extends' 'vertically'.,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Vt'}]"
"For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself while the aunt is.","For example, a grandmother may have more authority to pass on information than an aunt, even when she is not at genetic risk herself while the aunt is.",[]
"From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists 'views of family relationships, or about which blood(or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct, they may not be in line with geneticists 'views of family relationships or about which blood(or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","[{'idx_src': [], 'idx_tgt': [22], 'corr_type': 'Mec'}, {'idx_src': [35], 'idx_tgt': [], 'corr_type': 'Mec'}]"
"Ultimately, one must bring attention to who may benefit from such information and assisting those at risk to make considered decisions about disclosure.","Ultimately, one must bring attention to who may benefit from such information and assist those at risk to make informed decisions about disclosure.","[{'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Spar'}, {'idx_src': [20], 'idx_tgt': [20], 'corr_type': 'Wci'}]"
Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive' the risk is to them.,Whose duty it is to inform at risk relatives or not greatly depends on personal morals and the nature of how 'direct' the risk is to them.,"[{'idx_src': [14], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [15], 'corr_type': 'Nn'}, {'idx_src': [22], 'idx_tgt': [21], 'corr_type': 'Wform'}]"
People with close blood relationship generally carry some similar genes.,People with a close blood relationship generally carry some similar genes.,"[{'idx_src': [], 'idx_tgt': [2], 'corr_type': 'ArtOrDet'}]"
"In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows.","In this case, if one of the family members or close relatives is found to carry a genetic risk, it is better for the patient to tell their close relatives about the issue and let others know about the risk so that their family members are able to perform some daily exercises to prevent the potential disease. or go to hospital and check for the corresponding gene.","[{'idx_src': [], 'idx_tgt': [17], 'corr_type': 'ArtOrDet'}, {'idx_src': [28], 'idx_tgt': [29], 'corr_type': 'Pref'}, {'idx_src': [37], 'idx_tgt': [38], 'corr_type': 'Vform'}, {'idx_src': [43], 'idx_tgt': [44], 'corr_type': 'Pref'}, {'idx_src': [44], 'idx_tgt': [45], 'corr_type': 'Mec'}, {'idx_src': [52], 'idx_tgt': [53], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [59], 'corr_type': 'Srun'}, {'idx_src': [59, 60], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [68], 'idx_tgt': [68], 'corr_type': 'Mec'}, {'idx_src': [69], 'idx_tgt': [69], 'corr_type': 'Wci'}]"
"In my opinion, although the annouance of carrying a genetic risk involves the issue of self privacy, it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease.","In my opinion, although the announcement of carrying a genetic risk involves the issue of self privacy, it is necessary for the carrier to be obligated to tell the issue to his or her relatives in order for them to prevent the potential disease.","[{'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}]"
I agree with this statement to a large extent.,I agree with this statement to a large extent.,[]
Focus on the negative side of the annouance of genetic risk first.,Focusing on the negative side of the announcement of genetic risk first;,"[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Vform'}, {'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Mec'}, {'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Sfrag'}]"
Large numbers of patients with the genetic risk would want to keep it as a secret as the genetic risk may indicates their high chance to carry certain disease.,"large numbers of patients with the genetic risk would want to keep it a secret, as the genetic risk may indicate their high chance of carrying certain diseases.","[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Mec'}, {'idx_src': [13], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [], 'idx_tgt': [15], 'corr_type': 'Mec'}, {'idx_src': [21], 'idx_tgt': [21], 'corr_type': 'SVA'}, {'idx_src': [25], 'idx_tgt': [25], 'corr_type': 'Wci'}, {'idx_src': [26], 'idx_tgt': [26], 'corr_type': 'Wci'}, {'idx_src': [28], 'idx_tgt': [28], 'corr_type': 'Nn'}]"
"Especially for the young people without marrige, if he/she is known to have some genetic risk, it may have certain chance that his/her child would carry the same disease, but not in certain.","Especially for young people not yet married, if they are known to have some genetic risk, there may be a certain chance that their child would carry the same disease, but not a certainty.","[{'idx_src': [2], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [5], 'idx_tgt': [4, 5], 'corr_type': 'Wci'}, {'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Wci'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Pref'}, {'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'SVA'}, {'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Others'}, {'idx_src': [20], 'idx_tgt': [20], 'corr_type': 'Others'}, {'idx_src': [], 'idx_tgt': [21], 'corr_type': 'ArtOrDet'}, {'idx_src': [24], 'idx_tgt': [25], 'corr_type': 'Pref'}, {'idx_src': [34, 35], 'idx_tgt': [35, 36], 'corr_type': 'Wci'}]"
"Therefore, to keep the information as secret to his/her future spouce would help the relationship.","Therefore, keeping the information a secret from their future spouse would help the relationship.","[{'idx_src': [2], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [3], 'idx_tgt': [2], 'corr_type': 'Vform'}, {'idx_src': [6], 'idx_tgt': [5], 'corr_type': 'Prep'}, {'idx_src': [8], 'idx_tgt': [7], 'corr_type': 'Prep'}, {'idx_src': [9], 'idx_tgt': [8], 'corr_type': 'Pref'}, {'idx_src': [11], 'idx_tgt': [10], 'corr_type': 'Mec'}]"
"Secondly, annouance the potential risk would cause the family member to be scared of this certain issue, although the factor would not be that serious, people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease, and this creats unnecessary costs to the family.","Secondly, announcing the potential risk would cause the family member to be scared of this certain issue; although the factor would not be that serious, people would still fear that they would have some potential disease in the future, go to hospital, do additional checks or take more medicine in order to prevent the disease, and this creates unnecessary costs to the family.","[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Mec'}, {'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Srun'}, {'idx_src': [], 'idx_tgt': [42], 'corr_type': 'Srun'}, {'idx_src': [42], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [46], 'corr_type': 'Mec'}, {'idx_src': [46], 'idx_tgt': [], 'corr_type': 'Trans'}, {'idx_src': [49], 'idx_tgt': [49], 'corr_type': 'Nn'}, {'idx_src': [63], 'idx_tgt': [63], 'corr_type': 'Mec'}]"
"Furthermore, the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease.","Furthermore, the announcement of genetic risk would affect the relationship with the relatives, as sometimes others may think to not stay too close to the carrier so that they have less chance to get the potential disease.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [14], 'corr_type': 'Mec'}, {'idx_src': [19, 20], 'idx_tgt': [20, 21], 'corr_type': 'WOinc'}]"
"On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extend and help to keep the privacy, but it has much larger negative impacts to the family members and relatives.","On the other hand, if the genetic risk is kept a secret, although it may benefit the carrier to a certain extent and help to keep the privacy, it has much larger negative impacts to the family members and relatives.","[{'idx_src': [11], 'idx_tgt': [], 'corr_type': 'Wci'}, {'idx_src': [24], 'idx_tgt': [23], 'corr_type': 'Mec'}, {'idx_src': [32], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"First, for the case of marrige, people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings.","First, in the case of marriage, people should be honest and tell their spouse they may carry certain genetic risks that may affect their offspring.","[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Prep'}, {'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Pref'}, {'idx_src': [15], 'idx_tgt': [15], 'corr_type': 'Mec'}, {'idx_src': [21], 'idx_tgt': [21], 'corr_type': 'Nn'}, {'idx_src': [26], 'idx_tgt': [26], 'corr_type': 'Nn'}]"
It is better to let the other party know the fact than after the baby is born and certain type of genetic disease is found.,"It is better to let the other party know the fact, than a certain type of disease is found after the baby is born.","[{'idx_src': [], 'idx_tgt': [11], 'corr_type': 'Mec'}, {'idx_src': [12, 13, 14, 15, 16], 'idx_tgt': [13, 14, 15, 16, 17, 18, 19], 'corr_type': 'WOinc'}, {'idx_src': [17], 'idx_tgt': [], 'corr_type': 'Trans'}, {'idx_src': [18, 19, 20, 21, 22, 23, 24], 'idx_tgt': [20, 21, 22, 23, 24], 'corr_type': 'WOinc'}]"
It is better for both parties to be honest.,It is better for both parties to be honest.,[]
"Secondly, genetic disease has a close relationship with the born gene together with their daily habits.","Secondly, genetic disease has a close relationship with the born gene together with their daily habits.",[]
"For example, if a carrier is told that he/she has the risk to have diabetes.","For example, if a carrier is told that they have the risk of diabetes.","[{'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Pref'}, {'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'SVA'}, {'idx_src': [13, 14], 'idx_tgt': [13], 'corr_type': 'Wci'}]"
"In this case, the carrier can eat less candies and chocolates to prevent intake to much sugars, and at the same time, if the carrier tell this information to the relatives, it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease.",", the carrier can eat less candies and chocolates to prevent the intake of too much sugar. At the same time, if the carrier tells this information to the relatives, it will be useful for them to know that they may have diabetes in the future because of related genes, and they can perform the same exercise and intake less sugar to prevent the disease.","[{'idx_src': [0, 1, 2], 'idx_tgt': [], 'corr_type': 'Others'}, {'idx_src': [], 'idx_tgt': [11], 'corr_type': 'ArtOrDet'}, {'idx_src': [15], 'idx_tgt': [13, 14], 'corr_type': 'Prep'}, {'idx_src': [17], 'idx_tgt': [16], 'corr_type': 'Nn'}, {'idx_src': [18], 'idx_tgt': [17], 'corr_type': 'Srun'}, {'idx_src': [19], 'idx_tgt': [], 'corr_type': 'Trans'}, {'idx_src': [20], 'idx_tgt': [18], 'corr_type': 'Mec'}, {'idx_src': [28], 'idx_tgt': [26], 'corr_type': 'SVA'}, {'idx_src': [51], 'idx_tgt': [49], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [53], 'corr_type': 'Mec'}, {'idx_src': [62], 'idx_tgt': [61], 'corr_type': 'Prep'}]"
"Otherwise, if the other parties did not know, they may end up with to have diabete in the future without any prevention.","Otherwise, if the other parties did not know, they may end up having diabetes in the future without any prevention.","[{'idx_src': [14, 15], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [16], 'idx_tgt': [14], 'corr_type': 'SVA'}, {'idx_src': [17], 'idx_tgt': [15], 'corr_type': 'Mec'}]"
"In conclusion, we could tell the benefits of telling genetic risk to the carriers relatives overweights the costs.","In conclusion, we could tell the benefits of telling information about risks to the carriers 'relatives outweighs the costs.","[{'idx_src': [10], 'idx_tgt': [10, 11], 'corr_type': 'Others'}, {'idx_src': [11], 'idx_tgt': [12], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [16], 'corr_type': 'Mec'}, {'idx_src': [16], 'idx_tgt': [18], 'corr_type': 'Mec'}]"
"Therefore, it would be better for the carrier to be obligated to tell the information to the relatives, in order to let them know and prevent the potential disease through daily exercises.","Therefore, it would be better for the carrier to be obligated to tell the information to the relatives in order to let them know and prevent the potential disease through daily exercises.","[{'idx_src': [19], 'idx_tgt': [], 'corr_type': 'Mec'}]"
"Among all kinds of different diseases, a large amount of different kinds of disorders are caused by genetic reasons.","Among all kinds of different diseases, a large amount of different kinds of disorders are caused by genetic faults.","[{'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Wci'}]"
Genetic disorder may or may not be hirataged hereditary disease and it is sometimes hard to find out one has these kinds of diseases.,"A genetic disorder may or may not be a hereditary disease, and it is sometimes hard to find out if one has these kinds of diseases.","[{'idx_src': [0], 'idx_tgt': [0, 1], 'corr_type': 'ArtOrDet'}, {'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [8], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [11], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [20], 'corr_type': 'Trans'}]"
It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene.,It is a long term discussion whether a carrier of a known genetic risk should be obligated to tell their relatives that their disease is caused by genes.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Wci'}, {'idx_src': [6], 'idx_tgt': [], 'corr_type': 'Ssub'}, {'idx_src': [20], 'idx_tgt': [19], 'corr_type': 'Pref'}, {'idx_src': [21], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [22], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [25], 'idx_tgt': [22], 'corr_type': 'Pref'}, {'idx_src': [26], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [27], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [32], 'idx_tgt': [27], 'corr_type': 'Nn'}]"
"From the legal aspect, the answer is no but from the ethical aspect, the answer should be yes.","From the legal aspect the answer is no, but from the ethical aspect the answer should be yes.","[{'idx_src': [4], 'idx_tgt': [], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [8], 'corr_type': 'Mec'}, {'idx_src': [14], 'idx_tgt': [], 'corr_type': 'Mec'}]"
We can't make a law to push a carrier of a known genetic risk to tell his or her relatives about his genetic problem.,We can not make a law to push a carrier of a known genetic risk to tell their relatives about their genetic problem.,"[{'idx_src': [1, 2], 'idx_tgt': [1, 2], 'corr_type': 'Wtone'}, {'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Pref'}, {'idx_src': [18], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [19], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [22], 'idx_tgt': [20], 'corr_type': 'Pref'}]"
It is immoral and impractical.,It is immoral and impractical.,[]
